iteration	energy	residual_norm	L2-error	H1-error
0	0.000000e+00	1.278512e+03	1.000000e+00	1.000000e+00
10	-7.332925e+01	5.448635e-01	2.297991e-02	7.363697e-02
20	-7.334816e+01	1.528673e-02	1.426763e-02	4.184732e-02
30	-7.335138e+01	1.708456e-02	1.080332e-02	3.211090e-02
40	-7.335202e+01	7.428305e-04	1.315195e-02	3.834094e-02
50	-7.335361e+01	4.590734e-04	1.216280e-02	3.547790e-02
60	-7.335362e+01	9.696472e-03	1.097689e-02	3.477576e-02
70	-7.335403e+01	5.802953e-02	1.222571e-02	3.925424e-02
80	-7.335485e+01	2.535995e-04	1.252447e-02	4.266702e-02
90	-7.335485e+01	4.847029e-03	1.247059e-02	4.256212e-02
100	-7.335486e+01	1.580823e-03	1.238402e-02	4.223017e-02
110	-7.335516e+01	4.922144e-02	1.219489e-02	4.247981e-02
120	-7.335519e+01	8.886965e-04	1.180145e-02	4.145100e-02
130	-7.335541e+01	1.155298e-02	1.254898e-02	4.571023e-02
140	-7.335543e+01	8.404879e-05	1.247095e-02	4.601167e-02
150	-7.335543e+01	3.685677e-04	1.288359e-02	4.624173e-02
160	-7.335551e+01	1.149802e-02	1.291294e-02	4.725534e-02
170	-7.335601e+01	4.849090e-02	1.532461e-02	5.424933e-02
180	-7.335608e+01	2.380347e-04	1.393319e-02	5.444498e-02
190	-7.335610e+01	7.132865e-03	1.344975e-02	5.368587e-02
200	-7.335611e+01	8.449438e-02	1.362114e-02	5.370137e-02
210	-7.335612e+01	3.275109e-04	1.355664e-02	5.366322e-02
220	-7.335643e+01	1.799423e-01	1.348298e-02	5.309367e-02
230	-7.335645e+01	2.590458e-03	1.297465e-02	5.215287e-02
240	-7.335660e+01	5.486077e-03	1.370826e-02	5.564254e-02
250	-7.335662e+01	1.004258e-02	1.341404e-02	5.569306e-02
260	-7.335662e+01	6.104469e-02	1.319625e-02	5.568284e-02
270	-7.335663e+01	3.039668e-04	1.339903e-02	5.585067e-02
280	-7.335664e+01	2.771019e-03	1.347045e-02	5.610585e-02
290	-7.335670e+01	1.255064e-04	1.326472e-02	5.558688e-02
300	-7.335670e+01	1.825246e-03	1.327555e-02	5.560091e-02
310	-7.335685e+01	1.384294e-03	1.350002e-02	5.713488e-02
320	-7.335685e+01	3.739233e-04	1.352555e-02	5.716008e-02
330	-7.335685e+01	6.334123e-03	1.358141e-02	5.719863e-02
340	-7.335686e+01	1.349542e-04	1.351438e-02	5.719895e-02
350	-7.335686e+01	2.187613e-03	1.341670e-02	5.693587e-02
360	-7.335725e+01	4.143772e-03	1.392831e-02	6.066766e-02
370	-7.335728e+01	2.379022e-02	1.391333e-02	6.089524e-02
380	-7.335734e+01	1.697680e-03	1.483746e-02	6.177229e-02
390	-7.335736e+01	3.032397e-03	1.386011e-02	6.160049e-02
400	-7.335736e+01	2.269832e-02	1.390980e-02	6.166308e-02
410	-7.335736e+01	2.241374e-04	1.390086e-02	6.166259e-02
420	-7.335747e+01	3.546281e-02	1.412118e-02	6.285375e-02
430	-7.335792e+01	6.906677e-03	1.444758e-02	6.719069e-02
440	-7.335798e+01	1.637885e-02	1.250082e-02	6.720520e-02
450	-7.335816e+01	1.926865e-02	1.462606e-02	7.071626e-02
460	-7.335816e+01	3.783370e-03	1.470387e-02	7.075818e-02
470	-7.335816e+01	8.656460e-04	1.469992e-02	7.075597e-02
480	-7.335817e+01	1.290191e-03	1.472866e-02	7.039051e-02
490	-7.335817e+01	2.233501e-02	1.459999e-02	7.008307e-02
500	-7.335817e+01	2.890475e-03	1.485935e-02	7.011623e-02
510	-7.335818e+01	2.745621e-03	1.442395e-02	6.979673e-02
520	-7.335818e+01	1.571163e-03	1.441049e-02	6.980862e-02
530	-7.335827e+01	2.978846e-03	1.461904e-02	7.053475e-02
540	-7.335828e+01	3.488771e-03	1.460518e-02	7.062636e-02
550	-7.335829e+01	1.300620e-02	1.465194e-02	7.071899e-02
560	-7.335830e+01	6.912173e-04	1.488797e-02	7.094991e-02
570	-7.335830e+01	4.146042e-04	1.455542e-02	7.083501e-02
580	-7.335834e+01	7.124801e-04	1.459684e-02	7.078957e-02
590	-7.335835e+01	1.521328e-02	1.444997e-02	7.066237e-02
600	-7.335843e+01	2.134573e-03	1.438309e-02	7.081489e-02
610	-7.335843e+01	9.950080e-05	1.438269e-02	7.081400e-02
620	-7.335843e+01	5.908206e-04	1.436163e-02	7.083878e-02
630	-7.335843e+01	3.630777e-05	1.442002e-02	7.086213e-02
640	-7.335845e+01	1.875420e-02	1.453073e-02	7.115382e-02
650	-7.335846e+01	1.786335e-03	1.463054e-02	7.148761e-02
660	-7.335847e+01	4.165368e-04	1.438433e-02	7.094151e-02
670	-7.335847e+01	6.785065e-02	1.443759e-02	7.106687e-02
680	-7.335847e+01	4.500591e-02	1.436472e-02	7.103222e-02
690	-7.335848e+01	3.169227e-03	1.450493e-02	7.100255e-02
700	-7.335849e+01	4.372273e-01	1.448819e-02	7.103385e-02
710	-7.335849e+01	3.980952e-04	1.438248e-02	7.105132e-02
720	-7.335849e+01	4.201022e-03	1.439274e-02	7.108047e-02
730	-7.335868e+01	1.197980e-01	1.436035e-02	7.203383e-02
740	-7.335871e+01	9.628029e-04	1.437661e-02	7.229764e-02
750	-7.335871e+01	4.603027e-04	1.428468e-02	7.230998e-02
760	-7.335872e+01	2.022307e-05	1.432152e-02	7.235566e-02
770	-7.335872e+01	6.885287e-04	1.432268e-02	7.235555e-02
780	-7.335872e+01	4.419293e-05	1.432611e-02	7.234588e-02
790	-7.335872e+01	7.657160e-05	1.434080e-02	7.240460e-02
800	-7.335872e+01	3.729940e-03	1.433381e-02	7.229827e-02
810	-7.335872e+01	3.443266e-04	1.421262e-02	7.222989e-02
820	-7.335882e+01	1.164996e-03	1.477063e-02	7.460820e-02
830	-7.335886e+01	1.502927e-01	1.497920e-02	7.546317e-02
840	-7.335905e+01	5.444492e-03	1.553858e-02	7.962266e-02
850	-7.335928e+01	5.428376e-02	1.620698e-02	8.428280e-02
860	-7.335930e+01	3.265502e-03	1.627930e-02	8.473500e-02
870	-7.335948e+01	1.848191e-03	1.610313e-02	8.490246e-02
880	-7.335949e+01	1.401915e-02	1.605090e-02	8.487451e-02
890	-7.335961e+01	2.722389e-03	1.608526e-02	8.519338e-02
900	-7.335965e+01	3.607891e-04	1.603503e-02	8.535955e-02
910	-7.335965e+01	9.418470e-03	1.598839e-02	8.533198e-02
920	-7.335969e+01	9.225576e-03	1.539651e-02	8.516008e-02
930	-7.335973e+01	7.626600e-05	1.578149e-02	8.557466e-02
940	-7.335973e+01	1.855633e-04	1.598433e-02	8.566372e-02
950	-7.335973e+01	5.628257e-02	1.580031e-02	8.562111e-02
960	-7.335979e+01	2.601601e-02	1.596028e-02	8.545933e-02
