iteration	energy	residual_norm
0	0.000000e+00	1.278512e+03
1	-9.588909e+00	5.790042e+02
2	-7.188273e+01	3.291602e+00
3	-7.307950e+01	4.843132e-01
4	-7.318819e+01	1.438367e-01
5	-7.318821e+01	1.901954e+00
6	-7.331322e+01	2.547068e-02
7	-7.331323e+01	2.034981e-01
8	-7.332687e+01	8.289901e-03
9	-7.332687e+01	1.339607e-01
10	-7.332925e+01	5.448635e-01
11	-7.334599e+01	1.218550e-02
12	-7.334600e+01	4.228352e-03
13	-7.334600e+01	8.468161e-03
14	-7.334600e+01	1.419023e-03
15	-7.334801e+01	1.827306e-02
16	-7.334805e+01	1.222011e-03
17	-7.334805e+01	5.756477e-02
18	-7.334805e+01	1.095856e-02
19	-7.334814e+01	2.401090e-01
20	-7.334816e+01	1.528673e-02
21	-7.334985e+01	2.220136e-01
22	-7.334985e+01	1.389099e-03
23	-7.335114e+01	8.569652e-02
24	-7.335132e+01	4.540715e-01
25	-7.335138e+01	8.522157e-01
26	-7.335138e+01	2.074003e-03
27	-7.335138e+01	2.564760e-04
28	-7.335138e+01	5.163177e-03
29	-7.335138e+01	2.545236e-03
30	-7.335138e+01	1.708456e-02
31	-7.335138e+01	5.636096e-04
32	-7.335197e+01	2.317287e+00
33	-7.335200e+01	2.927182e-03
34	-7.335200e+01	9.121553e-03
35	-7.335200e+01	2.605565e-02
36	-7.335200e+01	8.578580e-02
37	-7.335201e+01	4.019407e-03
38	-7.335201e+01	2.822551e-04
39	-7.335201e+01	8.655859e-02
40	-7.335202e+01	7.428305e-04
41	-7.335202e+01	4.682250e-03
42	-7.335209e+01	3.831014e+00
43	-7.335336e+01	1.889815e-02
44	-7.335339e+01	2.212573e-02
45	-7.335339e+01	3.800412e-01
46	-7.335340e+01	2.603344e-03
47	-7.335340e+01	2.763655e-02
48	-7.335351e+01	1.822691e-01
49	-7.335351e+01	4.541998e-02
50	-7.335361e+01	4.590734e-04
51	-7.335361e+01	1.627538e-01
52	-7.335361e+01	5.465323e-03
53	-7.335361e+01	6.806088e-04
54	-7.335361e+01	1.300778e-02
55	-7.335361e+01	2.287307e-03
56	-7.335361e+01	1.008649e-04
57	-7.335361e+01	3.560907e-01
58	-7.335362e+01	8.391791e-03
59	-7.335362e+01	1.051564e-02
60	-7.335362e+01	9.696472e-03
61	-7.335362e+01	1.563067e-01
62	-7.335399e+01	6.285553e-04
63	-7.335399e+01	1.321048e-01
64	-7.335399e+01	1.062972e-02
65	-7.335399e+01	1.632784e-02
66	-7.335399e+01	5.800242e-05
67	-7.335399e+01	1.569043e-04
68	-7.335399e+01	9.535726e-03
69	-7.335403e+01	2.390595e-01
70	-7.335403e+01	5.802953e-02
71	-7.335403e+01	2.434480e-03
72	-7.335403e+01	8.997197e-04
73	-7.335403e+01	3.908890e-03
74	-7.335403e+01	3.616661e-03
75	-7.335403e+01	5.067534e-04
76	-7.335403e+01	6.458203e-03
77	-7.335403e+01	1.876233e-03
78	-7.335485e+01	9.998433e-04
79	-7.335485e+01	1.695872e-03
80	-7.335485e+01	2.535995e-04
81	-7.335485e+01	4.012314e-03
82	-7.335485e+01	2.761544e-01
83	-7.335485e+01	2.895626e-03
84	-7.335485e+01	1.211421e-04
85	-7.335485e+01	2.103712e-02
86	-7.335485e+01	3.282389e-04
87	-7.335485e+01	8.398864e-03
88	-7.335485e+01	6.888473e-03
89	-7.335485e+01	1.606611e-04
90	-7.335485e+01	4.847029e-03
91	-7.335485e+01	4.833837e-01
92	-7.335486e+01	4.548719e-03
93	-7.335486e+01	3.329097e-03
94	-7.335486e+01	1.358522e-03
95	-7.335486e+01	2.021915e-02
96	-7.335486e+01	1.246672e-04
97	-7.335486e+01	1.314850e-01
98	-7.335486e+01	7.087587e-03
99	-7.335486e+01	4.051983e-04
100	-7.335486e+01	1.580823e-03
101	-7.335486e+01	1.665877e-03
102	-7.335486e+01	8.523063e-03
103	-7.335486e+01	4.205832e-03
104	-7.335486e+01	1.716416e-02
105	-7.335486e+01	1.469540e-02
106	-7.335486e+01	5.992675e-04
107	-7.335488e+01	1.750079e+00
108	-7.335516e+01	2.185407e-04
109	-7.335516e+01	2.498349e-03
110	-7.335516e+01	4.922144e-02
111	-7.335518e+01	1.357419e-02
112	-7.335518e+01	2.604810e-03
113	-7.335518e+01	1.141149e-01
114	-7.335518e+01	4.617250e-03
115	-7.335518e+01	9.336456e-03
116	-7.335518e+01	1.479719e-03
117	-7.335518e+01	1.979880e-03
118	-7.335518e+01	6.688710e-05
119	-7.335518e+01	2.996790e-01
120	-7.335519e+01	8.886965e-04
121	-7.335519e+01	2.627664e-04
122	-7.335519e+01	1.285080e-04
123	-7.335519e+01	4.786358e-05
124	-7.335519e+01	1.834218e-03
125	-7.335524e+01	2.863653e+00
126	-7.335538e+01	6.094417e-02
127	-7.335538e+01	6.552656e-03
128	-7.335538e+01	2.274394e-01
129	-7.335539e+01	1.930249e-03
130	-7.335541e+01	1.155298e-02
131	-7.335541e+01	1.114272e-02
132	-7.335541e+01	1.827760e-02
133	-7.335541e+01	1.005816e-03
134	-7.335541e+01	8.078105e-02
135	-7.335542e+01	1.240024e-03
136	-7.335542e+01	3.758894e-02
137	-7.335542e+01	1.132137e-02
138	-7.335542e+01	9.055088e-02
139	-7.335543e+01	7.046181e-04
140	-7.335543e+01	8.404879e-05
141	-7.335543e+01	3.611160e-04
142	-7.335543e+01	1.975863e-03
143	-7.335543e+01	2.102678e-04
144	-7.335543e+01	7.446403e-04
145	-7.335543e+01	2.104368e-03
146	-7.335543e+01	2.770918e-05
147	-7.335543e+01	1.501190e-02
148	-7.335543e+01	4.531439e-03
149	-7.335543e+01	1.037175e-03
150	-7.335543e+01	3.685677e-04
151	-7.335543e+01	7.990645e-04
152	-7.335550e+01	9.152773e-03
153	-7.335550e+01	1.498280e-01
154	-7.335550e+01	5.116045e-04
155	-7.335550e+01	8.805874e-03
156	-7.335550e+01	2.916603e-02
157	-7.335550e+01	5.837315e-04
158	-7.335550e+01	7.513020e-04
159	-7.335550e+01	4.595226e-03
160	-7.335551e+01	1.149802e-02
161	-7.335556e+01	2.877979e-01
162	-7.335556e+01	3.719661e-02
163	-7.335556e+01	5.371752e-04
164	-7.335556e+01	1.239319e-03
165	-7.335556e+01	7.797119e-04
166	-7.335556e+01	2.034998e-04
167	-7.335556e+01	2.669381e-03
168	-7.335556e+01	2.644329e-03
169	-7.335601e+01	4.843282e-02
170	-7.335601e+01	4.849090e-02
171	-7.335605e+01	1.622653e-02
172	-7.335608e+01	1.070574e-01
173	-7.335608e+01	2.064816e-02
174	-7.335608e+01	6.730661e-03
175	-7.335608e+01	1.648965e-04
176	-7.335608e+01	5.868977e-05
177	-7.335608e+01	3.245853e-04
178	-7.335608e+01	8.240436e-03
179	-7.335608e+01	5.157281e-03
180	-7.335608e+01	2.380347e-04
181	-7.335608e+01	4.973997e-03
182	-7.335608e+01	1.363769e-04
183	-7.335608e+01	5.987716e-04
184	-7.335608e+01	7.057544e-03
185	-7.335608e+01	2.063518e-02
186	-7.335608e+01	4.457599e-03
187	-7.335608e+01	2.753940e-01
188	-7.335610e+01	8.309006e-05
189	-7.335610e+01	1.891115e-02
190	-7.335610e+01	7.132865e-03
191	-7.335610e+01	4.230842e-04
192	-7.335610e+01	4.312379e-03
193	-7.335610e+01	2.985526e-04
194	-7.335610e+01	8.847641e-05
195	-7.335610e+01	3.892547e-02
196	-7.335610e+01	1.305655e-02
197	-7.335610e+01	1.392679e-04
198	-7.335610e+01	1.079562e-02
199	-7.335610e+01	2.234912e-04
200	-7.335611e+01	8.449438e-02
201	-7.335611e+01	7.389683e-03
202	-7.335611e+01	4.293505e-03
203	-7.335611e+01	5.850161e-03
204	-7.335611e+01	7.290124e-02
205	-7.335611e+01	9.477517e-03
206	-7.335612e+01	3.662845e-03
207	-7.335612e+01	3.107028e-04
208	-7.335612e+01	2.133535e-03
209	-7.335612e+01	3.281889e-02
210	-7.335612e+01	3.275109e-04
211	-7.335612e+01	4.846849e-03
212	-7.335612e+01	1.899620e-02
213	-7.335612e+01	7.349444e-03
214	-7.335612e+01	4.433846e-03
215	-7.335615e+01	1.600184e+00
216	-7.335617e+01	4.004973e-02
217	-7.335642e+01	3.141253e-03
218	-7.335642e+01	1.714401e-04
219	-7.335642e+01	1.001011e-03
220	-7.335643e+01	1.799423e-01
221	-7.335643e+01	3.056654e-03
222	-7.335643e+01	1.629015e-02
223	-7.335643e+01	6.985071e-01
224	-7.335645e+01	6.431316e-03
225	-7.335645e+01	1.202596e-02
226	-7.335645e+01	5.839560e-02
227	-7.335645e+01	8.333794e-04
228	-7.335645e+01	4.768166e-04
229	-7.335645e+01	3.344541e-03
230	-7.335645e+01	2.590458e-03
231	-7.335645e+01	3.740502e-04
232	-7.335645e+01	6.085326e-04
233	-7.335646e+01	1.474310e-02
234	-7.335656e+01	2.294095e+00
235	-7.335659e+01	1.493883e-02
236	-7.335660e+01	1.836944e-02
237	-7.335660e+01	4.477825e-02
238	-7.335660e+01	5.805175e-04
239	-7.335660e+01	1.258767e-02
240	-7.335660e+01	5.486077e-03
241	-7.335661e+01	4.517898e-04
242	-7.335661e+01	2.829785e-03
243	-7.335661e+01	6.722647e-04
244	-7.335661e+01	4.799688e-05
245	-7.335661e+01	1.525602e-02
246	-7.335661e+01	6.998807e-04
247	-7.335661e+01	5.270676e-04
248	-7.335661e+01	6.380572e-04
249	-7.335661e+01	7.479273e-03
250	-7.335662e+01	1.004258e-02
251	-7.335662e+01	1.307245e-04
252	-7.335662e+01	3.045372e-04
253	-7.335662e+01	1.421113e-02
254	-7.335662e+01	4.592767e-04
255	-7.335662e+01	1.124586e-03
256	-7.335662e+01	1.684039e-01
257	-7.335662e+01	1.351951e-03
258	-7.335662e+01	3.502661e-04
259	-7.335662e+01	1.980980e-04
260	-7.335662e+01	6.104469e-02
261	-7.335662e+01	3.725009e-02
262	-7.335662e+01	1.025788e-03
263	-7.335662e+01	7.968215e-04
264	-7.335662e+01	1.113238e-01
265	-7.335663e+01	2.940085e-04
266	-7.335663e+01	9.182841e-04
267	-7.335663e+01	3.108967e-03
268	-7.335663e+01	2.340570e-04
269	-7.335663e+01	7.420447e-04
270	-7.335663e+01	3.039668e-04
271	-7.335663e+01	3.121237e-03
272	-7.335663e+01	1.279373e-02
273	-7.335663e+01	2.123478e-03
274	-7.335663e+01	7.287300e-04
275	-7.335663e+01	1.196879e-01
276	-7.335663e+01	4.126232e-04
277	-7.335664e+01	1.508215e-01
278	-7.335664e+01	4.009053e-02
279	-7.335664e+01	5.682075e-03
280	-7.335664e+01	2.771019e-03
281	-7.335664e+01	5.726059e-05
282	-7.335664e+01	5.039904e-04
283	-7.335664e+01	9.468211e-03
284	-7.335664e+01	9.551065e-04
285	-7.335664e+01	3.460588e-04
286	-7.335664e+01	1.870448e-01
287	-7.335670e+01	5.241546e-04
288	-7.335670e+01	1.690810e-02
289	-7.335670e+01	1.292367e-04
290	-7.335670e+01	1.255064e-04
291	-7.335670e+01	1.022455e-01
292	-7.335670e+01	4.349229e-03
293	-7.335670e+01	1.504326e-04
294	-7.335670e+01	2.248757e-04
295	-7.335670e+01	1.674445e-03
296	-7.335670e+01	3.976330e-04
297	-7.335670e+01	2.366028e-03
298	-7.335670e+01	5.224083e-04
299	-7.335670e+01	8.738801e-02
300	-7.335670e+01	1.825246e-03
301	-7.335670e+01	2.211761e-03
302	-7.335670e+01	4.026185e-03
303	-7.335670e+01	3.203405e-04
304	-7.335670e+01	4.815164e-04
305	-7.335670e+01	1.766789e-01
306	-7.335685e+01	2.369499e-04
307	-7.335685e+01	4.841651e-04
308	-7.335685e+01	3.344866e-05
309	-7.335685e+01	3.112503e-05
310	-7.335685e+01	1.384294e-03
311	-7.335685e+01	1.868395e-05
312	-7.335685e+01	5.480909e-05
313	-7.335685e+01	5.014046e-04
314	-7.335685e+01	1.372434e-03
315	-7.335685e+01	1.325907e-04
316	-7.335685e+01	7.154630e-05
317	-7.335685e+01	3.615195e-04
318	-7.335685e+01	5.292279e-04
319	-7.335685e+01	1.249246e-03
320	-7.335685e+01	3.739233e-04
321	-7.335685e+01	1.341536e-02
322	-7.335685e+01	8.499895e-04
323	-7.335685e+01	5.195887e-05
324	-7.335685e+01	7.351131e-05
325	-7.335685e+01	1.061781e-03
326	-7.335685e+01	1.555468e-04
327	-7.335685e+01	8.732110e-04
328	-7.335685e+01	1.844971e-04
329	-7.335685e+01	3.247289e-03
330	-7.335685e+01	6.334123e-03
331	-7.335685e+01	9.164592e-03
332	-7.335685e+01	1.543290e-01
333	-7.335685e+01	4.273366e-03
334	-7.335686e+01	3.958502e-04
335	-7.335686e+01	8.889716e-04
336	-7.335686e+01	1.205712e-03
337	-7.335686e+01	1.597999e-03
338	-7.335686e+01	1.008973e-04
339	-7.335686e+01	1.826332e-05
340	-7.335686e+01	1.349542e-04
341	-7.335686e+01	1.169698e-04
342	-7.335686e+01	1.699954e-03
343	-7.335686e+01	1.248075e-03
344	-7.335686e+01	7.145255e-04
345	-7.335686e+01	1.730868e-03
346	-7.335686e+01	1.526966e-04
347	-7.335686e+01	8.984901e-05
348	-7.335686e+01	5.831948e-04
349	-7.335686e+01	1.060699e-03
350	-7.335686e+01	2.187613e-03
351	-7.335686e+01	1.322082e-02
352	-7.335686e+01	1.487421e-04
353	-7.335686e+01	6.027416e-04
354	-7.335686e+01	1.481387e-04
355	-7.335686e+01	1.143441e-03
356	-7.335686e+01	9.067216e-05
357	-7.335686e+01	3.448804e-04
358	-7.335725e+01	1.607681e-02
