i	epoch	loss	l2_err	h1_err
0	1	-6.53424e+02	8.80941e-01	8.86306e-01
1	2	-1.79429e+02	5.02072e-01	5.50598e-01
2	3	-6.70064e+02	9.87134e-02	2.82963e-01
3	4	-8.97461e+02	5.28920e-01	5.75805e-01
4	5	-6.55023e+02	6.41350e-01	6.73433e-01
5	6	-5.37864e+02	4.61436e-01	5.18714e-01
6	7	-7.18189e+02	1.33099e-01	2.94770e-01
7	8	-8.91117e+02	4.41597e-01	4.99420e-01
8	10	-7.34699e+02	3.06895e-01	3.94112e-01
9	11	-7.06232e+02	1.91981e-01	3.21950e-01
10	13	-8.94891e+02	2.62127e-01	3.63657e-01
11	15	-8.03767e+02	2.73325e-01	3.67659e-01
12	17	-8.45863e+02	1.88535e-01	3.14524e-01
13	19	-8.93166e+02	1.40933e-01	2.85631e-01
14	22	-8.68848e+02	1.41479e-01	2.81745e-01
15	25	-8.78842e+02	5.48388e-02	2.41935e-01
16	29	-9.11371e+02	5.44965e-02	2.28345e-01
17	33	-9.06272e+02	5.00839e-02	2.07108e-01
18	38	-9.06874e+02	3.94731e-02	1.72728e-01
19	44	-9.06959e+02	2.81195e-02	1.34512e-01
20	50	-9.05101e+02	1.95128e-02	9.45274e-02
21	58	-9.04823e+02	1.20438e-02	6.50456e-02
22	66	-9.06748e+02	9.61319e-03	5.67624e-02
23	76	-9.08181e+02	8.77203e-03	5.55743e-02
24	87	-9.03110e+02	8.34049e-03	5.32524e-02
25	100	-9.12395e+02	8.02867e-03	5.12422e-02
26	114	-9.07381e+02	7.18704e-03	4.85013e-02
27	131	-9.10366e+02	6.96784e-03	4.65982e-02
28	150	-9.07980e+02	6.59865e-03	4.47287e-02
29	172	-9.06893e+02	6.16923e-03	4.35609e-02
30	197	-9.11053e+02	6.14145e-03	4.24421e-02
