i	epoch	loss	l2_err	h1_err
0	1	-6.32455e+02	1.41146e-01	2.96658e-01
1	2	-8.89190e+02	2.33090e-01	3.44700e-01
2	3	-8.58037e+02	4.64951e-01	5.17885e-01
3	4	-7.08080e+02	5.57244e-01	5.95949e-01
4	5	-6.40316e+02	5.36416e-01	5.77881e-01
5	6	-6.42903e+02	4.37488e-01	4.95292e-01
6	7	-7.27901e+02	2.92296e-01	3.85205e-01
7	8	-8.30800e+02	7.47128e-02	2.73045e-01
8	9	-8.98080e+02	3.00348e-01	3.91691e-01
9	11	-8.72542e+02	3.50159e-01	4.28754e-01
10	13	-7.98416e+02	1.35482e-01	2.94337e-01
11	14	-8.00212e+02	2.12839e-01	3.33402e-01
12	17	-8.89906e+02	1.17542e-01	2.87639e-01
13	19	-9.04269e+02	1.63817e-01	3.08117e-01
14	22	-8.75078e+02	8.10409e-02	2.73409e-01
15	25	-8.98633e+02	6.23390e-02	2.69366e-01
16	29	-8.89461e+02	6.73635e-02	2.70559e-01
17	33	-9.05967e+02	5.69711e-02	2.68702e-01
18	38	-8.97012e+02	5.57822e-02	2.68151e-01
19	44	-9.10069e+02	5.65053e-02	2.68122e-01
20	50	-9.13103e+02	5.63740e-02	2.67900e-01
21	57	-9.08320e+02	5.59508e-02	2.66989e-01
22	66	-9.11810e+02	5.48016e-02	2.67981e-01
23	75	-9.02639e+02	5.57129e-02	2.68166e-01
24	86	-9.03197e+02	5.61563e-02	2.68528e-01
25	99	-9.07230e+02	5.59077e-02	2.68243e-01
26	113	-9.09270e+02	5.60218e-02	2.68130e-01
27	130	-9.06122e+02	5.59135e-02	2.67119e-01
28	149	-9.08504e+02	5.55259e-02	2.67363e-01
29	170	-9.04926e+02	5.57330e-02	2.67752e-01
30	195	-9.03781e+02	5.56459e-02	2.67579e-01
