i	epoch	loss	l2_err	h1_err
0	1	-4.48978e+02	4.14349e-01	7.18591e-01
1	2	-7.29849e+02	2.33202e-01	3.73529e-01
2	3	-8.65904e+02	3.20196e-01	4.11089e-01
3	4	-8.21137e+02	1.92014e-01	3.27390e-01
4	5	-8.73504e+02	6.20729e-02	2.79348e-01
5	6	-9.06916e+02	1.94780e-01	3.35967e-01
6	7	-8.77793e+02	1.89646e-01	3.45901e-01
7	8	-8.71176e+02	9.48532e-02	3.98901e-01
8	9	-9.03707e+02	1.76843e-01	4.80402e-01
9	10	-8.83430e+02	6.49026e-02	2.92553e-01
10	11	-9.06846e+02	6.17216e-02	2.82870e-01
11	12	-9.06986e+02	6.80150e-02	2.85941e-01
12	13	-9.05112e+02	6.64603e-02	2.85880e-01
13	14	-9.08623e+02	6.00491e-02	2.83420e-01
14	15	-9.10172e+02	6.25790e-02	2.81999e-01
15	16	-9.03099e+02	5.97170e-02	2.82937e-01
16	18	-8.99651e+02	6.29642e-02	2.84458e-01
17	19	-8.99530e+02	5.91721e-02	2.79639e-01
18	21	-9.05755e+02	5.76505e-02	2.74195e-01
19	22	-9.00120e+02	5.66709e-02	2.71908e-01
20	24	-9.04841e+02	5.38097e-02	2.67274e-01
21	26	-9.03730e+02	5.53786e-02	2.62274e-01
22	28	-9.05214e+02	5.20010e-02	2.57267e-01
23	30	-9.08944e+02	5.36151e-02	2.53003e-01
24	32	-9.02300e+02	5.00580e-02	2.43443e-01
25	35	-9.06961e+02	4.76228e-02	2.34091e-01
26	38	-9.05772e+02	4.64284e-02	2.25260e-01
27	41	-9.01647e+02	4.38717e-02	2.11334e-01
28	44	-9.04130e+02	3.95191e-02	1.91375e-01
29	47	-9.11793e+02	3.25489e-02	1.60082e-01
30	51	-9.11158e+02	2.33947e-02	1.15539e-01
31	55	-9.05766e+02	4.68112e-02	1.01866e-01
32	59	-9.07140e+02	1.50973e-02	6.15450e-02
33	64	-9.09129e+02	1.19756e-02	5.32681e-02
34	69	-9.03622e+02	1.26017e-02	4.00915e-02
35	74	-9.12228e+02	8.27435e-03	4.23427e-02
36	80	-9.06324e+02	4.89858e-03	3.18822e-02
37	86	-9.10600e+02	4.39583e-03	3.07547e-02
38	93	-9.07907e+02	4.21692e-03	2.97762e-02
39	100	-9.13787e+02	3.99626e-03	2.93514e-02
40	108	-9.09060e+02	3.77952e-03	2.82989e-02
41	116	-9.09929e+02	3.60665e-03	2.68684e-02
42	125	-9.10971e+02	3.46716e-03	2.59013e-02
43	135	-9.14998e+02	3.05112e-03	2.46117e-02
44	145	-9.12032e+02	3.22117e-03	2.38292e-02
45	156	-9.07586e+02	2.84604e-03	2.31707e-02
46	168	-9.11550e+02	2.88316e-03	2.23506e-02
47	181	-9.03759e+02	3.26736e-03	2.18528e-02
48	195	-9.09414e+02	2.61177e-03	2.05003e-02
49	211	-9.09517e+02	2.55689e-03	1.96037e-02
50	227	-9.14877e+02	3.64718e-03	1.97750e-02
51	244	-9.07174e+02	2.74196e-03	1.84355e-02
52	263	-9.08695e+02	2.83538e-03	1.81721e-02
53	284	-9.08984e+02	2.74052e-03	1.82577e-02
54	306	-9.12659e+02	8.49761e-03	2.07434e-02
55	329	-9.15063e+02	2.18435e-03	1.65487e-02
56	355	-9.11822e+02	1.88472e-03	1.56265e-02
57	382	-9.15768e+02	1.94036e-03	1.43999e-02
58	412	-9.19815e+02	1.66843e-03	1.37654e-02
59	443	-9.15425e+02	1.64145e-03	1.28480e-02
60	478	-9.09513e+02	1.76642e-03	1.28162e-02
61	515	-9.09478e+02	1.43145e-03	1.21154e-02
62	554	-9.07081e+02	1.38331e-03	1.17308e-02
63	597	-9.09120e+02	1.42899e-03	1.15335e-02
