n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.08799547136075236	0.237731285770175	0.1428	0.01
2	0.3333333333333333	16	0.05592699699309756	0.2093582448186734	0.0006	64.01
4	0.2	30	0.03905212111264882	0.19332375172168445	0.0008	64.03
6	0.14285714285714285	50	0.02527064048512401	0.1656507663369618	0.0006	64.07
8	0.1111111111111111	85	0.01272751188525425	0.14211777001412587	0.0008	64.19
10	0.09090909090909091	129	0.011451817076592659	0.13148279711007518	0.0011	64.42
12	0.07692307692307693	164	0.009614007880172214	0.12527169274768152	0.0012	64.68
14	0.06666666666666667	226	0.006102138663330283	0.11774515529559472	0.0019	65.27
16	0.058823529411764705	279	0.005359688594677699	0.11537353713712767	0.0026	65.91
18	0.05263157894736842	349	0.005955091433017017	0.111595387450371	0.0036	66.98
20	0.047619047619047616	451	0.0038835838351780156	0.10715225750599534	0.0053	68.93
