n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	12	0.602671080954085	1.1499383174467355	0.1446	0.01
2	0.3333333333333333	16	0.5193031008706845	1.0901388589078609	0.0006	64.01
4	0.2	30	0.191872727686789	0.5804911960525108	0.0008	64.04
6	0.14285714285714285	50	0.08201513733852425	0.3880784401298285	0.0007	64.11
8	0.1111111111111111	85	0.02847066185585077	0.26901321304573234	0.0008	64.30
10	0.09090909090909091	129	0.017628019650846604	0.2262541163088555	0.0011	64.68
12	0.07692307692307693	164	0.013313917770762393	0.2004593220151094	0.0011	65.08
14	0.06666666666666667	226	0.008193961152355633	0.1753557891662636	0.0015	66.04
16	0.058823529411764705	279	0.006887391227388676	0.16396024785223728	0.0025	67.10
18	0.05263157894736842	349	0.00691650947790631	0.1533675940939097	0.0036	68.84
20	0.047619047619047616	451	0.004613135919182939	0.14181485611894962	0.0048	72.03
