n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.1518081073344441	0.2647460188493562	0.1915	0.01
2	0.3333333333333333	16	0.06266677191146713	0.177074995479206	0.0005	64.01
4	0.2	36	0.021892593486182433	0.10809477422176188	0.0006	64.03
6	0.14285714285714285	64	0.011222260090513622	0.07726632209924283	0.0005	64.10
8	0.1111111111111111	100	0.006856236043946758	0.05949955399468361	0.0007	64.24
10	0.09090909090909091	144	0.004635609694385543	0.04784846341656354	0.0011	64.48
12	0.07692307692307693	196	0.003349337730898455	0.03944453563169895	0.0016	64.89
14	0.06666666666666667	256	0.002536284751472625	0.03327474570107043	0.0020	65.51
16	0.058823529411764705	324	0.0019889609794444033	0.0283149981667963	0.0029	66.42
18	0.05263157894736842	400	0.0016027193784849219	0.024884423802085207	0.0042	67.68
20	0.047619047619047616	484	0.001320132122559082	0.021558692324837304	0.0059	69.39
