n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_solve_s	peak_mem_mb
1	0.5	9	0.17459750355447884	0.36372176307150855	0.7145	0.00
2	0.3333333333333333	16	0.0756368449517729	0.2555158558203083	0.0022	0.00
4	0.2	36	0.027618415786649118	0.1633673883310802	0.0014	0.00
6	0.14285714285714285	64	0.014471372027217494	0.12126406153057132	0.0012	0.00
8	0.1111111111111111	100	0.008954296519144013	0.09663116127501635	0.0032	0.00
10	0.09090909090909091	144	0.006113257685939656	0.08042747178120195	0.0091	0.00
12	0.07692307692307693	196	0.004443884260739032	0.06885110658563454	0.0079	0.00
14	0.06666666666666667	256	0.003380409221241936	0.06018433912577446	0.0132	0.00
16	0.058823529411764705	324	0.002660462231742026	0.05343918972193171	0.0076	0.00
18	0.05263157894736842	400	0.002148665597671218	0.04802337844700576	0.0162	0.00
20	0.047619047619047616	484	0.0017724748179322805	0.043587873393307	0.0408	0.00
