iteration	energy	residual_norm	L2-error	H1-error
0	0.000000e+00	2.762708e+01	1.000000e+00	1.000000e+00
2	-6.270686e+01	5.616919e+00	8.618408e-01	3.023714e+00
4	-6.901155e+01	2.449665e+00	7.497162e-01	1.761226e+00
6	-7.113802e+01	1.673599e+00	6.425535e-01	1.463862e+00
8	-7.212128e+01	1.106088e+00	5.444169e-01	1.712305e+00
10	-7.258097e+01	8.773933e-01	4.627953e-01	1.971274e+00
12	-7.281671e+01	7.442615e-01	3.979070e-01	2.125188e+00
14	-7.303457e+01	5.345327e-01	3.178492e-01	2.214322e+00
16	-7.313878e+01	4.369689e-01	2.653713e-01	2.161963e+00
18	-7.325533e+01	5.094146e-01	1.849389e-01	1.957879e+00
20	-7.337614e+01	3.996778e-01	1.066493e-01	1.769578e+00
22	-7.345122e+01	3.059755e-01	9.648092e-02	1.786218e+00
24	-7.348616e+01	1.870386e-01	1.131539e-01	1.876232e+00
26	-7.349838e+01	1.593293e-01	1.261716e-01	1.937680e+00
28	-7.350734e+01	8.908589e-02	1.420200e-01	2.017678e+00
30	-7.351101e+01	8.709354e-02	1.512779e-01	2.106056e+00
32	-7.351446e+01	7.395255e-02	1.612688e-01	2.244230e+00
34	-7.351603e+01	5.377653e-02	1.661293e-01	2.326949e+00
36	-7.351707e+01	3.690446e-02	1.696404e-01	2.391675e+00
38	-7.351743e+01	2.032643e-02	1.709701e-01	2.413135e+00
40	-7.351756e+01	1.157679e-02	1.714876e-01	2.418737e+00
42	-7.351760e+01	7.989897e-03	1.716351e-01	2.419166e+00
44	-7.351761e+01	4.610731e-03	1.716959e-01	2.418572e+00
46	-7.351763e+01	5.105672e-03	1.718163e-01	2.415701e+00
48	-7.351764e+01	3.208197e-03	1.719407e-01	2.412584e+00
50	-7.351764e+01	1.776313e-03	1.720106e-01	2.410626e+00
52	-7.351764e+01	5.929475e-04	1.720232e-01	2.410190e+00
54	-7.351764e+01	2.249076e-04	1.720274e-01	2.410101e+00
56	-7.351764e+01	1.119031e-04	1.720288e-01	2.410061e+00
58	-7.351764e+01	8.064348e-05	1.720294e-01	2.410030e+00
60	-7.351764e+01	3.475964e-05	1.720298e-01	2.410014e+00
62	-7.351764e+01	1.405279e-05	1.720299e-01	2.410011e+00
64	-7.351764e+01	7.175414e-06	1.720300e-01	2.410010e+00
66	-7.351764e+01	2.879999e-06	1.720300e-01	2.410010e+00
68	-7.351764e+01	1.493676e-06	1.720300e-01	2.410010e+00
70	-7.351764e+01	7.228367e-07	1.720300e-01	2.410010e+00
72	-7.351764e+01	1.990388e-07	1.720300e-01	2.410010e+00
74	-7.351764e+01	6.848501e-08	1.720300e-01	2.410010e+00
76	-7.351764e+01	3.472080e-08	1.720300e-01	2.410010e+00
78	-7.351764e+01	1.387241e-08	1.720300e-01	2.410010e+00
80	-7.351764e+01	1.400747e-09	1.720300e-01	2.410010e+00
82	-7.351764e+01	4.708147e-10	1.720300e-01	2.410010e+00
84	-7.351764e+01	9.678593e-11	1.720300e-01	2.410010e+00
86	-7.351764e+01	3.375052e-11	1.720300e-01	2.410010e+00
87	-7.351764e+01	2.098101e-11	1.720300e-01	2.410010e+00
