iteration	energy	residual_norm
0	0.000000e+00	1.278512e+03
1	-9.588909e+00	5.790042e+02
2	-7.188273e+01	3.291602e+00
3	-7.307950e+01	4.843132e-01
4	-7.318819e+01	1.448923e-01
5	-7.318820e+01	1.011096e+00
6	-7.331322e+01	2.528307e-02
7	-7.331341e+01	9.176983e-01
8	-7.332687e+01	8.400590e-03
9	-7.332687e+01	4.818765e-02
10	-7.332765e+01	3.271457e-01
11	-7.334600e+01	3.166421e-03
12	-7.334600e+01	4.997043e-03
13	-7.334600e+01	8.149107e-03
14	-7.334600e+01	1.546009e-03
15	-7.334804e+01	5.754229e-03
16	-7.334805e+01	1.376837e-03
17	-7.334805e+01	4.403028e-02
18	-7.334805e+01	2.811623e-03
19	-7.334808e+01	3.494617e-01
20	-7.334880e+01	3.177359e-02
21	-7.334985e+01	2.065771e-02
22	-7.334985e+01	1.392432e-03
23	-7.335135e+01	3.320679e-01
24	-7.335138e+01	7.668481e-03
25	-7.335138e+01	2.105760e-03
26	-7.335138e+01	9.870811e-03
27	-7.335138e+01	2.742072e-04
28	-7.335138e+01	9.644270e-04
29	-7.335138e+01	5.077923e-04
30	-7.335138e+01	1.327829e-01
31	-7.335138e+01	1.916342e-03
32	-7.335200e+01	4.947988e-03
33	-7.335200e+01	1.604142e-02
34	-7.335200e+01	2.232812e-03
35	-7.335200e+01	2.869520e-03
36	-7.335201e+01	2.685510e-04
37	-7.335202e+01	1.373508e+00
38	-7.335205e+01	1.846104e-02
39	-7.335206e+01	6.930576e-03
40	-7.335206e+01	1.692131e-03
41	-7.335206e+01	7.321841e-02
42	-7.335350e+01	6.395812e-02
43	-7.335353e+01	1.895016e-03
44	-7.335353e+01	2.419694e-02
45	-7.335359e+01	2.277752e-01
46	-7.335360e+01	8.812478e-03
47	-7.335361e+01	1.664546e-02
48	-7.335361e+01	3.343207e-04
49	-7.335361e+01	2.847649e-03
50	-7.335361e+01	5.690270e-02
51	-7.335361e+01	2.810654e-01
52	-7.335361e+01	4.665200e-03
53	-7.335361e+01	3.244951e-04
54	-7.335361e+01	2.069360e-03
55	-7.335361e+01	1.075421e-04
56	-7.335361e+01	2.769420e-02
57	-7.335399e+01	1.377891e-02
58	-7.335399e+01	7.085321e-04
59	-7.335399e+01	2.064541e-03
60	-7.335399e+01	2.681676e-03
61	-7.335399e+01	2.924066e-02
62	-7.335399e+01	8.961568e-03
63	-7.335399e+01	3.708301e-03
64	-7.335399e+01	9.000922e-05
65	-7.335399e+01	6.749743e-05
66	-7.335402e+01	3.691169e-01
67	-7.335448e+01	2.801882e-02
68	-7.335448e+01	2.912799e-01
69	-7.335448e+01	3.827039e-03
70	-7.335449e+01	1.294022e-03
71	-7.335449e+01	1.906991e-03
72	-7.335449e+01	2.186134e-03
73	-7.335450e+01	2.324552e-02
74	-7.335485e+01	1.003766e-02
75	-7.335485e+01	4.657963e-03
76	-7.335485e+01	3.394253e-02
77	-7.335485e+01	1.488954e-03
78	-7.335485e+01	4.927287e-04
79	-7.335485e+01	1.195295e-04
80	-7.335485e+01	2.514785e-03
81	-7.335485e+01	1.074470e-04
82	-7.335485e+01	1.978121e-03
83	-7.335485e+01	8.837626e-03
84	-7.335486e+01	2.595345e-03
85	-7.335486e+01	7.417247e-03
86	-7.335486e+01	9.557131e-04
87	-7.335486e+01	3.122677e-04
88	-7.335486e+01	4.643853e-04
89	-7.335486e+01	1.633409e-03
90	-7.335486e+01	3.827096e-02
91	-7.335486e+01	5.491144e-04
92	-7.335486e+01	1.021867e-02
93	-7.335486e+01	2.011237e-04
94	-7.335486e+01	2.397205e-02
95	-7.335486e+01	1.756813e-02
96	-7.335487e+01	3.864079e-01
97	-7.335487e+01	9.788670e-04
98	-7.335487e+01	2.752447e-03
99	-7.335488e+01	1.471804e+00
100	-7.335503e+01	3.110688e-01
101	-7.335506e+01	1.506712e-03
102	-7.335507e+01	1.659805e+00
103	-7.335516e+01	1.062981e-02
104	-7.335516e+01	1.596477e-02
105	-7.335516e+01	2.257240e-03
106	-7.335516e+01	1.929777e-04
107	-7.335516e+01	5.126742e-04
108	-7.335516e+01	7.461010e-02
109	-7.335516e+01	1.618122e-03
110	-7.335516e+01	6.999949e-04
111	-7.335516e+01	2.134221e-03
112	-7.335516e+01	3.241770e-03
113	-7.335518e+01	1.299751e-03
114	-7.335518e+01	3.796277e-03
115	-7.335518e+01	5.594925e-03
116	-7.335518e+01	6.558578e-05
117	-7.335519e+01	9.517391e-02
118	-7.335519e+01	1.807737e-04
119	-7.335519e+01	4.657438e-05
120	-7.335519e+01	1.025590e-01
121	-7.335519e+01	2.996526e-03
122	-7.335519e+01	1.581204e-02
123	-7.335520e+01	4.095032e-01
124	-7.335520e+01	1.353570e-01
125	-7.335520e+01	1.263727e-02
126	-7.335537e+01	2.040941e-02
127	-7.335537e+01	7.207335e-03
128	-7.335540e+01	1.622693e-02
129	-7.335540e+01	2.342437e-03
130	-7.335540e+01	1.884725e-02
131	-7.335543e+01	2.436204e-03
132	-7.335543e+01	1.679844e-03
133	-7.335543e+01	1.234496e-04
134	-7.335543e+01	7.996692e-05
135	-7.335543e+01	1.067585e-03
136	-7.335543e+01	2.284143e-03
137	-7.335543e+01	6.598826e-05
138	-7.335543e+01	4.341404e-04
139	-7.335543e+01	4.045175e-03
140	-7.335543e+01	3.157179e-05
141	-7.335543e+01	1.541549e-03
142	-7.335543e+01	1.075504e-02
143	-7.335543e+01	3.586175e-03
144	-7.335543e+01	1.826863e-04
145	-7.335543e+01	1.851346e-02
146	-7.335543e+01	3.787609e-04
147	-7.335544e+01	8.758755e-02
148	-7.335544e+01	1.837036e-01
149	-7.335544e+01	6.282953e-03
150	-7.335545e+01	1.369569e-03
151	-7.335545e+01	3.079753e-02
152	-7.335545e+01	8.577260e-04
153	-7.335545e+01	9.865423e-02
154	-7.335545e+01	2.381599e-02
155	-7.335545e+01	9.432217e-03
156	-7.335559e+01	3.333405e-04
157	-7.335559e+01	4.811525e-03
158	-7.335559e+01	6.771961e-03
159	-7.335561e+01	2.759697e-02
160	-7.335561e+01	2.259797e-01
161	-7.335561e+01	1.846922e-03
162	-7.335561e+01	2.129204e-03
163	-7.335561e+01	3.001713e-03
164	-7.335561e+01	9.102139e-03
165	-7.335563e+01	2.731815e-03
166	-7.335563e+01	9.935590e-02
167	-7.335563e+01	1.005267e-03
168	-7.335563e+01	1.451444e-03
169	-7.335563e+01	9.731039e-04
170	-7.335563e+01	2.934500e-03
171	-7.335563e+01	2.390254e-04
172	-7.335570e+01	6.172862e-01
173	-7.335570e+01	8.517846e-01
174	-7.335607e+01	6.698453e-03
175	-7.335607e+01	1.893791e-03
176	-7.335607e+01	7.912161e-05
177	-7.335607e+01	3.909185e-04
178	-7.335607e+01	2.553571e-04
179	-7.335607e+01	1.437113e-02
180	-7.335607e+01	5.434920e-03
181	-7.335608e+01	8.433733e-02
182	-7.335608e+01	3.146566e-01
183	-7.335608e+01	4.056315e-03
184	-7.335609e+01	4.258966e-04
185	-7.335609e+01	1.401025e-04
186	-7.335609e+01	4.555598e-04
187	-7.335609e+01	1.079711e-04
188	-7.335609e+01	2.059917e-03
189	-7.335609e+01	1.353343e-04
190	-7.335609e+01	2.731920e-04
191	-7.335609e+01	7.422414e-04
192	-7.335609e+01	1.465006e-04
193	-7.335609e+01	1.781119e-04
194	-7.335609e+01	1.339875e-03
195	-7.335609e+01	7.069547e-04
196	-7.335609e+01	6.847545e-04
197	-7.335609e+01	9.647197e-04
198	-7.335609e+01	4.314228e-04
199	-7.335609e+01	6.605925e-04
200	-7.335609e+01	2.255495e-03
201	-7.335609e+01	1.932691e-03
202	-7.335609e+01	1.079712e-04
203	-7.335610e+01	3.054065e-03
204	-7.335610e+01	2.251444e-04
205	-7.335610e+01	2.883687e-03
206	-7.335610e+01	1.144296e-03
207	-7.335610e+01	5.818279e-02
208	-7.335610e+01	7.283819e-05
209	-7.335610e+01	1.059086e-02
210	-7.335610e+01	2.442590e-02
211	-7.335610e+01	2.587610e-03
212	-7.335610e+01	3.836554e-03
213	-7.335610e+01	1.888159e-03
214	-7.335610e+01	3.742459e-03
215	-7.335610e+01	1.542872e-03
216	-7.335610e+01	6.818297e-03
217	-7.335610e+01	5.411419e-04
218	-7.335641e+01	3.300324e-02
219	-7.335641e+01	1.077659e-01
220	-7.335641e+01	3.172603e-04
221	-7.335641e+01	5.187451e-04
222	-7.335641e+01	1.211956e-03
223	-7.335641e+01	5.996655e-04
224	-7.335641e+01	9.127835e-04
225	-7.335642e+01	1.164182e+00
226	-7.335644e+01	1.845449e-02
227	-7.335645e+01	4.750064e-03
228	-7.335645e+01	5.578143e-02
229	-7.335645e+01	1.850751e-02
230	-7.335645e+01	1.239605e-03
231	-7.335645e+01	3.137194e-01
232	-7.335646e+01	5.698204e-03
233	-7.335646e+01	1.511133e-02
234	-7.335647e+01	6.828885e-03
235	-7.335647e+01	2.112962e-04
236	-7.335651e+01	1.814274e-02
237	-7.335651e+01	3.948317e-03
238	-7.335651e+01	1.246274e-03
239	-7.335651e+01	2.766865e-04
240	-7.335651e+01	1.125445e-03
241	-7.335651e+01	2.405562e-03
242	-7.335651e+01	5.375103e-03
243	-7.335651e+01	1.843406e-02
244	-7.335651e+01	7.420533e-04
245	-7.335651e+01	1.140019e-03
246	-7.335651e+01	3.613610e-02
247	-7.335661e+01	1.421259e-01
248	-7.335661e+01	3.876657e-04
249	-7.335661e+01	5.707487e-05
250	-7.335661e+01	1.170460e-04
251	-7.335661e+01	7.171823e-03
252	-7.335661e+01	3.453026e-03
253	-7.335661e+01	6.881407e-04
254	-7.335661e+01	3.650797e-04
255	-7.335661e+01	7.311315e-05
256	-7.335661e+01	8.647731e-03
257	-7.335661e+01	1.054646e-03
258	-7.335661e+01	1.282342e-03
259	-7.335661e+01	4.627850e-03
260	-7.335661e+01	1.138506e-02
261	-7.335661e+01	6.088214e-04
262	-7.335661e+01	1.207139e-03
263	-7.335662e+01	1.213957e-03
264	-7.335662e+01	4.852730e-04
265	-7.335662e+01	5.502198e-03
266	-7.335662e+01	2.946347e-02
267	-7.335662e+01	3.020177e-02
268	-7.335662e+01	5.337098e-04
269	-7.335662e+01	1.124685e-01
270	-7.335662e+01	1.115024e-02
271	-7.335663e+01	6.072382e-02
272	-7.335663e+01	1.542354e-03
273	-7.335663e+01	1.625383e-04
274	-7.335663e+01	2.757916e-04
275	-7.335663e+01	3.605233e-02
276	-7.335663e+01	1.563119e-02
277	-7.335663e+01	1.591247e-04
278	-7.335663e+01	5.932442e-03
279	-7.335663e+01	2.552075e-04
280	-7.335663e+01	5.874838e-04
281	-7.335663e+01	9.382232e-04
282	-7.335663e+01	1.676422e-03
283	-7.335664e+01	6.119771e-04
284	-7.335664e+01	5.789120e-02
285	-7.335664e+01	1.486927e-03
286	-7.335664e+01	5.876855e-05
287	-7.335664e+01	9.641669e-03
288	-7.335664e+01	1.456600e-03
289	-7.335664e+01	3.424111e-03
290	-7.335664e+01	2.036448e-02
291	-7.335664e+01	5.250856e-03
292	-7.335678e+01	1.289223e-02
293	-7.335678e+01	1.941849e-01
294	-7.335678e+01	6.640488e-04
295	-7.335678e+01	6.950571e-05
296	-7.335678e+01	1.666870e-03
297	-7.335678e+01	1.215449e-03
298	-7.335678e+01	6.375319e-04
299	-7.335678e+01	2.759713e-04
300	-7.335678e+01	2.921661e-04
301	-7.335678e+01	7.874966e-04
302	-7.335678e+01	1.273262e-03
303	-7.335679e+01	7.308300e-03
304	-7.335679e+01	1.119203e-02
305	-7.335679e+01	1.230370e-01
306	-7.335679e+01	9.437045e-03
307	-7.335681e+01	4.510862e-02
308	-7.335681e+01	4.265535e-01
309	-7.335685e+01	6.916584e-03
310	-7.335685e+01	4.547724e-05
311	-7.335685e+01	1.756231e-04
312	-7.335685e+01	3.131546e-05
313	-7.335685e+01	4.504466e-05
314	-7.335685e+01	1.836929e-05
315	-7.335685e+01	9.896855e-05
316	-7.335685e+01	1.966246e-03
317	-7.335685e+01	3.239279e-04
318	-7.335685e+01	1.460326e-03
319	-7.335685e+01	5.035761e-05
320	-7.335685e+01	3.967599e-05
321	-7.335685e+01	3.843494e-05
322	-7.335685e+01	4.960281e-03
323	-7.335685e+01	3.565651e-04
324	-7.335685e+01	6.140425e-05
325	-7.335685e+01	3.648957e-03
326	-7.335685e+01	1.461475e-03
327	-7.335685e+01	1.169677e-04
328	-7.335685e+01	5.571061e-05
329	-7.335685e+01	2.813981e-05
330	-7.335685e+01	1.682046e-04
331	-7.335685e+01	1.204673e-01
332	-7.335685e+01	1.285504e-03
333	-7.335685e+01	1.476005e-04
334	-7.335685e+01	1.100534e-02
335	-7.335685e+01	8.445130e-04
336	-7.335685e+01	5.143565e-04
337	-7.335685e+01	2.509912e-03
338	-7.335685e+01	5.443294e-04
339	-7.335686e+01	3.560719e-03
340	-7.335686e+01	1.158738e-01
341	-7.335686e+01	3.504380e-03
342	-7.335686e+01	7.639573e-03
343	-7.335686e+01	6.405838e-02
344	-7.335686e+01	3.450274e-03
345	-7.335686e+01	1.038941e-02
346	-7.335687e+01	7.335954e-02
347	-7.335687e+01	5.573842e-04
348	-7.335687e+01	7.761130e-05
349	-7.335687e+01	1.337781e-01
350	-7.335687e+01	9.791435e-05
351	-7.335687e+01	8.590802e-05
352	-7.335687e+01	1.060875e-03
353	-7.335687e+01	2.372580e-04
354	-7.335687e+01	2.081963e-03
355	-7.335687e+01	1.016675e-02
356	-7.335687e+01	2.911525e-02
357	-7.335687e+01	9.667126e-04
358	-7.335687e+01	2.968000e-02
