iteration	energy	residual_norm	L2-error	H1-error
0	0.000000e+00	1.278512e+03	1.000000e+00	1.000000e+00
10	-7.332760e+01	3.157342e-01	2.463139e-02	8.151440e-02
20	-7.334859e+01	2.951157e-02	1.420724e-02	4.076067e-02
30	-7.335156e+01	9.841195e-01	1.149366e-02	3.308353e-02
40	-7.335214e+01	2.702425e-03	1.365339e-02	3.778241e-02
50	-7.335361e+01	2.957444e-04	1.121050e-02	3.521702e-02
60	-7.335394e+01	2.598235e-03	1.238032e-02	3.932003e-02
70	-7.335453e+01	9.295884e-04	1.218465e-02	4.084307e-02
80	-7.335485e+01	1.055534e-04	1.222872e-02	4.315841e-02
90	-7.335486e+01	2.812105e-04	1.244585e-02	4.369433e-02
100	-7.335498e+01	1.559560e-01	1.078503e-02	4.163769e-02
110	-7.335516e+01	2.167618e-02	1.176451e-02	4.201435e-02
120	-7.335519e+01	8.838074e-04	1.169352e-02	4.248168e-02
130	-7.335543e+01	5.027551e-03	1.242023e-02	4.727547e-02
140	-7.335543e+01	7.386300e-02	1.238854e-02	4.730597e-02
150	-7.335545e+01	1.750046e-03	1.321508e-02	4.788232e-02
160	-7.335589e+01	2.009498e-04	1.292263e-02	5.319853e-02
170	-7.335602e+01	7.076032e-03	1.310329e-02	5.512705e-02
180	-7.335608e+01	2.752640e-03	1.343266e-02	5.586092e-02
190	-7.335609e+01	4.480464e-02	1.352857e-02	5.565694e-02
200	-7.335610e+01	8.527920e-04	1.386942e-02	5.619655e-02
210	-7.335610e+01	8.403512e-05	1.377678e-02	5.625251e-02
220	-7.335615e+01	3.684349e-03	1.340680e-02	5.495349e-02
230	-7.335634e+01	6.515806e-04	1.269535e-02	5.456960e-02
240	-7.335660e+01	4.788065e-03	1.329531e-02	5.785098e-02
250	-7.335661e+01	1.169005e-04	1.326350e-02	5.804424e-02
260	-7.335661e+01	7.608103e-02	1.334825e-02	5.807947e-02
270	-7.335662e+01	2.406482e-03	1.336692e-02	5.810238e-02
280	-7.335663e+01	6.036677e-04	1.310654e-02	5.799477e-02
290	-7.335674e+01	7.727688e-04	1.329169e-02	5.877590e-02
300	-7.335677e+01	3.556754e-02	1.455573e-02	5.970008e-02
310	-7.335685e+01	2.537676e-04	1.357269e-02	6.019095e-02
320	-7.335685e+01	3.875519e-03	1.359087e-02	6.006279e-02
330	-7.335685e+01	5.548619e-04	1.336018e-02	5.971170e-02
340	-7.335685e+01	5.637668e-04	1.338482e-02	5.979636e-02
350	-7.335686e+01	4.322601e-05	1.337863e-02	5.979517e-02
360	-7.335686e+01	6.111129e-01	1.321500e-02	5.967642e-02
370	-7.335707e+01	3.238501e-03	1.349595e-02	6.135638e-02
380	-7.335731e+01	1.947937e+00	1.424938e-02	6.428873e-02
390	-7.335735e+01	7.558850e-04	1.380961e-02	6.474639e-02
400	-7.335736e+01	4.524647e-04	1.379366e-02	6.482609e-02
410	-7.335737e+01	1.811591e-02	1.376461e-02	6.488793e-02
420	-7.335737e+01	1.800896e-04	1.391262e-02	6.496040e-02
430	-7.335745e+01	1.410069e-02	1.356774e-02	6.557937e-02
440	-7.335748e+01	2.266048e-04	1.387992e-02	6.611577e-02
450	-7.335750e+01	3.134434e-01	1.383584e-02	6.591390e-02
460	-7.335756e+01	5.287318e-04	1.453739e-02	6.845790e-02
470	-7.335812e+01	2.635443e-03	1.465822e-02	7.471904e-02
480	-7.335812e+01	1.315230e-03	1.441431e-02	7.463365e-02
490	-7.335813e+01	1.131277e-03	1.444975e-02	7.465845e-02
500	-7.335814e+01	3.542692e-04	1.420434e-02	7.453275e-02
510	-7.335817e+01	6.671775e-03	1.463356e-02	7.459753e-02
520	-7.335817e+01	7.717326e-05	1.448695e-02	7.432443e-02
530	-7.335817e+01	3.014509e-02	1.443984e-02	7.425409e-02
540	-7.335817e+01	6.607655e-03	1.446636e-02	7.425322e-02
550	-7.335818e+01	5.760749e-04	1.447129e-02	7.426842e-02
560	-7.335824e+01	6.178099e-04	1.393621e-02	7.412060e-02
570	-7.335825e+01	6.157874e-02	1.431043e-02	7.402363e-02
580	-7.335826e+01	4.559980e-03	1.419782e-02	7.393426e-02
590	-7.335828e+01	1.935618e-03	1.416961e-02	7.414382e-02
600	-7.335829e+01	4.483975e-02	1.423811e-02	7.421208e-02
610	-7.335830e+01	5.181585e-03	1.421513e-02	7.416059e-02
620	-7.335831e+01	9.136991e-03	1.410389e-02	7.420036e-02
630	-7.335843e+01	2.435731e-03	1.425512e-02	7.518521e-02
640	-7.335844e+01	8.345421e-03	1.429124e-02	7.523548e-02
650	-7.335851e+01	1.029150e-03	1.410614e-02	7.464170e-02
660	-7.335852e+01	1.961550e-01	1.406778e-02	7.469338e-02
670	-7.335853e+01	1.515341e-02	1.415523e-02	7.467380e-02
680	-7.335855e+01	2.025083e-02	1.437665e-02	7.493897e-02
690	-7.335859e+01	2.021432e-02	1.433931e-02	7.543562e-02
700	-7.335862e+01	5.606769e-05	1.398099e-02	7.465647e-02
710	-7.335862e+01	4.436825e-03	1.395157e-02	7.453697e-02
720	-7.335863e+01	6.830176e-03	1.398411e-02	7.476288e-02
730	-7.335864e+01	4.048480e-02	1.400087e-02	7.483411e-02
740	-7.335864e+01	2.525492e-03	1.419242e-02	7.490678e-02
750	-7.335864e+01	1.218822e-04	1.390640e-02	7.476695e-02
760	-7.335871e+01	1.858967e-03	1.416579e-02	7.674872e-02
770	-7.335871e+01	4.087699e-03	1.390801e-02	7.673504e-02
780	-7.335872e+01	7.300986e-04	1.418973e-02	7.695399e-02
790	-7.335872e+01	1.362431e-05	1.419619e-02	7.695689e-02
800	-7.335872e+01	3.259858e-04	1.430426e-02	7.703926e-02
810	-7.335872e+01	8.370425e-05	1.415850e-02	7.707995e-02
820	-7.335872e+01	1.218476e-02	1.422803e-02	7.741856e-02
830	-7.335873e+01	1.707996e-01	1.440645e-02	7.774066e-02
840	-7.335873e+01	1.693847e-04	1.421327e-02	7.766706e-02
850	-7.335874e+01	1.288353e-03	1.434773e-02	7.777709e-02
860	-7.335882e+01	1.871368e-04	1.495622e-02	8.082178e-02
870	-7.335882e+01	1.692989e-04	1.506131e-02	8.088795e-02
880	-7.335883e+01	4.280135e-03	1.526088e-02	8.113775e-02
890	-7.335886e+01	5.594027e-03	1.468539e-02	8.093354e-02
900	-7.335894e+01	3.827976e-03	1.582983e-02	8.223658e-02
910	-7.335920e+01	7.285661e-03	1.411614e-02	8.441898e-02
920	-7.335927e+01	2.358610e-02	1.549242e-02	8.606485e-02
930	-7.335941e+01	2.511321e-01	1.490081e-02	8.692095e-02
940	-7.335944e+01	2.258422e-01	1.511621e-02	8.733737e-02
950	-7.335947e+01	2.837122e-03	1.513821e-02	8.765666e-02
960	-7.335947e+01	2.394092e-03	1.509157e-02	8.767310e-02
970	-7.335965e+01	2.850832e-02	1.599575e-02	9.145120e-02
980	-7.335975e+01	6.260749e-03	1.730106e-02	9.193695e-02
990	-7.335981e+01	1.138325e-03	1.553586e-02	9.114519e-02
1000	-7.335981e+01	1.547270e-05	1.560678e-02	9.120348e-02
1010	-7.335981e+01	1.200780e-04	1.560015e-02	9.119749e-02
1020	-7.335981e+01	1.871346e-03	1.566602e-02	9.123647e-02
1030	-7.335981e+01	8.312779e-04	1.563472e-02	9.124844e-02
1040	-7.335981e+01	1.349044e-01	1.571889e-02	9.130865e-02
1050	-7.335983e+01	3.396291e-04	1.569049e-02	9.137726e-02
1060	-7.335983e+01	3.964289e-03	1.552097e-02	9.130946e-02
1070	-7.335991e+01	1.204414e-03	1.561949e-02	9.194461e-02
1080	-7.335991e+01	2.028658e-02	1.558707e-02	9.191192e-02
1090	-7.335991e+01	1.543689e-04	1.559444e-02	9.192083e-02
1100	-7.335991e+01	3.286279e-02	1.544676e-02	9.183856e-02
1110	-7.336002e+01	1.868456e-02	1.541854e-02	9.131097e-02
1120	-7.336005e+01	3.262741e-02	1.501772e-02	9.097423e-02
1130	-7.336009e+01	5.044966e-02	1.452808e-02	9.196429e-02
1140	-7.336011e+01	1.443329e-02	1.560890e-02	9.295579e-02
1150	-7.336019e+01	5.093464e-02	1.553712e-02	9.382640e-02
1160	-7.336019e+01	5.185404e-02	1.557913e-02	9.393670e-02
1170	-7.336020e+01	3.719081e-01	1.565625e-02	9.410310e-02
1180	-7.336021e+01	3.254477e-03	1.570985e-02	9.417924e-02
1190	-7.336022e+01	4.195820e-02	1.573000e-02	9.444810e-02
1200	-7.336022e+01	2.996300e-04	1.585207e-02	9.451383e-02
1210	-7.336022e+01	6.450038e-04	1.590064e-02	9.453482e-02
1220	-7.336023e+01	3.529529e-03	1.591044e-02	9.454147e-02
1230	-7.336023e+01	7.150064e-03	1.587137e-02	9.451936e-02
1240	-7.336023e+01	6.694742e-03	1.591270e-02	9.457803e-02
1250	-7.336024e+01	2.822279e-03	1.578825e-02	9.450948e-02
1260	-7.336024e+01	3.316941e-03	1.580834e-02	9.452033e-02
1270	-7.336024e+01	5.974168e-04	1.590609e-02	9.485230e-02
1280	-7.336024e+01	4.852118e-03	1.590770e-02	9.485790e-02
1290	-7.336024e+01	3.296419e-04	1.598718e-02	9.506728e-02
1300	-7.336025e+01	2.407836e-02	1.596448e-02	9.505613e-02
1310	-7.336026e+01	7.127773e-03	1.578206e-02	9.488364e-02
1320	-7.336026e+01	1.588970e-02	1.578862e-02	9.488980e-02
1330	-7.336027e+01	1.554028e-01	1.585421e-02	9.472516e-02
1340	-7.336027e+01	1.142399e-03	1.577575e-02	9.467217e-02
1350	-7.336027e+01	4.588035e-04	1.579918e-02	9.467528e-02
1360	-7.336027e+01	3.414321e-04	1.577876e-02	9.465475e-02
1370	-7.336028e+01	4.190734e-03	1.587556e-02	9.479597e-02
1380	-7.336028e+01	6.894644e-04	1.579716e-02	9.476153e-02
1390	-7.336028e+01	2.522127e-03	1.581775e-02	9.477589e-02
1400	-7.336028e+01	6.557524e-04	1.562380e-02	9.467496e-02
1410	-7.336029e+01	4.178513e-03	1.554027e-02	9.472869e-02
1420	-7.336029e+01	7.441381e-04	1.578837e-02	9.484004e-02
1430	-7.336030e+01	1.257190e-04	1.577740e-02	9.485584e-02
1440	-7.336030e+01	3.120228e-03	1.578032e-02	9.487797e-02
1450	-7.336045e+01	1.947144e-03	1.636540e-02	9.733360e-02
1460	-7.336047e+01	1.555643e-01	1.635098e-02	9.751773e-02
1470	-7.336053e+01	5.849478e-03	1.574095e-02	9.639272e-02
1480	-7.336053e+01	2.284212e-03	1.582113e-02	9.642604e-02
1490	-7.336053e+01	4.952523e-03	1.575278e-02	9.640399e-02
1500	-7.336055e+01	1.054452e-02	1.623138e-02	9.688209e-02
1510	-7.336056e+01	2.098768e-02	1.590237e-02	9.688309e-02
1520	-7.336057e+01	7.229814e-04	1.595998e-02	9.705306e-02
1530	-7.336057e+01	3.149086e-03	1.590219e-02	9.701214e-02
1540	-7.336065e+01	6.092024e-05	1.597233e-02	9.783143e-02
1550	-7.336065e+01	9.368346e-04	1.606368e-02	9.787253e-02
1560	-7.336065e+01	2.040796e-04	1.601693e-02	9.786958e-02
1570	-7.336065e+01	3.120542e-03	1.601782e-02	9.787168e-02
1580	-7.336065e+01	3.519640e-03	1.590510e-02	9.773734e-02
1590	-7.336065e+01	4.692315e-03	1.591371e-02	9.773426e-02
1600	-7.336065e+01	8.622538e-03	1.590919e-02	9.782030e-02
1610	-7.336065e+01	2.487999e-03	1.592381e-02	9.783255e-02
1620	-7.336065e+01	1.029457e-03	1.587003e-02	9.770388e-02
1630	-7.336066e+01	2.729837e-01	1.584020e-02	9.760563e-02
1640	-7.336066e+01	1.124049e-01	1.570518e-02	9.738836e-02
1650	-7.336067e+01	1.528866e-03	1.590318e-02	9.773248e-02
1660	-7.336067e+01	1.151090e-04	1.593780e-02	9.785227e-02
1670	-7.336067e+01	1.627441e-05	1.593889e-02	9.785316e-02
1680	-7.336067e+01	1.961898e-05	1.588926e-02	9.777180e-02
1690	-7.336067e+01	2.888445e-05	1.588467e-02	9.776753e-02
1700	-7.336067e+01	3.752690e-03	1.573717e-02	9.770745e-02
1710	-7.336068e+01	9.013813e-02	1.599137e-02	9.777818e-02
1720	-7.336068e+01	1.439479e-01	1.588298e-02	9.773820e-02
1730	-7.336068e+01	2.112295e-03	1.592134e-02	9.779619e-02
1740	-7.336068e+01	3.531824e-04	1.595309e-02	9.786820e-02
1750	-7.336069e+01	3.527150e-05	1.600314e-02	9.818482e-02
1760	-7.336069e+01	5.099953e-05	1.599735e-02	9.821296e-02
1770	-7.336069e+01	6.028791e-05	1.600980e-02	9.821938e-02
1780	-7.336069e+01	9.585848e-04	1.592763e-02	9.816270e-02
1790	-7.336069e+01	1.032849e-04	1.592427e-02	9.802702e-02
1800	-7.336069e+01	2.964162e-03	1.599578e-02	9.816107e-02
1810	-7.336069e+01	2.808032e-03	1.603022e-02	9.826918e-02
1820	-7.336069e+01	7.335382e-03	1.600902e-02	9.822020e-02
1830	-7.336069e+01	1.872517e-03	1.598152e-02	9.813678e-02
1840	-7.336070e+01	6.444517e-04	1.604339e-02	9.805688e-02
1850	-7.336070e+01	9.216948e-05	1.600282e-02	9.803912e-02
1860	-7.336070e+01	2.785262e-03	1.609102e-02	9.806588e-02
1870	-7.336075e+01	7.568509e-04	1.598919e-02	9.782342e-02
1880	-7.336075e+01	2.773257e-03	1.589923e-02	9.778003e-02
1890	-7.336075e+01	7.473094e-03	1.589427e-02	9.777943e-02
1900	-7.336081e+01	1.569052e-02	1.592074e-02	9.829559e-02
1910	-7.336083e+01	1.366964e-02	1.601805e-02	9.854463e-02
1920	-7.336084e+01	7.624242e-04	1.608599e-02	9.862195e-02
1930	-7.336085e+01	5.450175e-04	1.571567e-02	9.798530e-02
1940	-7.336086e+01	1.384159e-03	1.565555e-02	9.792044e-02
1950	-7.336089e+01	2.998133e-01	1.559814e-02	9.843996e-02
1960	-7.336093e+01	3.674453e-03	1.595861e-02	9.943589e-02
1970	-7.336093e+01	3.031557e-05	1.595900e-02	9.940184e-02
1980	-7.336093e+01	6.222727e-05	1.595341e-02	9.940070e-02
1990	-7.336093e+01	1.006427e-04	1.598723e-02	9.942264e-02
2000	-7.336093e+01	1.479914e-04	1.592225e-02	9.939749e-02
2010	-7.336094e+01	1.324491e-03	1.588722e-02	9.942884e-02
2020	-7.336094e+01	7.826985e-05	1.597636e-02	9.948219e-02
2030	-7.336094e+01	1.060794e-03	1.597843e-02	9.947562e-02
2040	-7.336094e+01	1.042606e-03	1.590985e-02	9.941654e-02
2050	-7.336094e+01	3.280191e-04	1.591548e-02	9.941947e-02
2060	-7.336094e+01	6.964970e-06	1.591110e-02	9.941754e-02
2070	-7.336094e+01	3.311199e-04	1.586208e-02	9.940768e-02
2080	-7.336095e+01	2.772205e-04	1.593848e-02	9.988011e-02
2090	-7.336095e+01	6.733850e-03	1.608767e-02	9.992719e-02
2100	-7.336095e+01	1.068052e-03	1.602211e-02	9.987347e-02
2110	-7.336096e+01	4.883660e-04	1.589139e-02	1.000347e-01
