iteration	energy	residual_norm
0	0.000000e+00	1.278512e+03
1	-9.588909e+00	5.790042e+02
2	-7.188273e+01	3.291602e+00
3	-7.307950e+01	4.843132e-01
4	-7.318819e+01	1.448806e-01
5	-7.318820e+01	1.015095e+00
6	-7.331322e+01	2.544261e-02
7	-7.331323e+01	2.195554e-01
8	-7.332687e+01	8.341126e-03
9	-7.332687e+01	6.634250e-02
10	-7.332760e+01	3.157342e-01
11	-7.334600e+01	1.402511e-03
12	-7.334600e+01	1.375649e-02
13	-7.334600e+01	9.698035e-03
14	-7.334600e+01	4.520592e-03
15	-7.334805e+01	1.829487e-03
16	-7.334805e+01	1.611916e-03
17	-7.334806e+01	6.973874e-02
18	-7.334806e+01	3.896990e-02
19	-7.334850e+01	5.699499e-01
20	-7.334859e+01	2.951157e-02
21	-7.334985e+01	1.444654e-03
22	-7.334985e+01	5.061821e-03
23	-7.335128e+01	6.323116e-01
24	-7.335137e+01	1.707057e-02
25	-7.335138e+01	5.181432e-04
26	-7.335138e+01	3.029035e-03
27	-7.335138e+01	2.591180e-04
28	-7.335145e+01	4.336536e-01
29	-7.335155e+01	4.497472e-03
30	-7.335156e+01	9.841195e-01
31	-7.335163e+01	2.354034e-02
32	-7.335201e+01	8.425512e-03
33	-7.335201e+01	1.051987e-03
34	-7.335201e+01	8.591150e-04
35	-7.335201e+01	1.935024e-03
36	-7.335201e+01	3.174090e-04
37	-7.335201e+01	2.666538e-02
38	-7.335201e+01	7.137020e-04
39	-7.335201e+01	7.216577e-03
40	-7.335214e+01	2.702425e-03
41	-7.335214e+01	8.004580e-03
42	-7.335355e+01	1.399797e-02
43	-7.335355e+01	3.782502e-03
44	-7.335355e+01	2.723582e-01
45	-7.335355e+01	2.837350e-03
46	-7.335355e+01	1.902036e-03
47	-7.335361e+01	2.963707e-02
48	-7.335361e+01	4.257802e-03
49	-7.335361e+01	4.573559e-04
50	-7.335361e+01	2.957444e-04
51	-7.335361e+01	2.588348e-01
52	-7.335361e+01	1.147210e-04
53	-7.335361e+01	1.389210e-03
54	-7.335361e+01	3.143082e-04
55	-7.335361e+01	9.859655e-04
56	-7.335361e+01	9.089376e-04
57	-7.335386e+01	2.519919e-02
58	-7.335386e+01	2.139682e-01
59	-7.335386e+01	6.856089e-02
60	-7.335394e+01	2.598235e-03
61	-7.335399e+01	9.823995e-03
62	-7.335399e+01	1.594881e-02
63	-7.335399e+01	2.823461e-03
64	-7.335399e+01	5.407986e-05
65	-7.335399e+01	9.262798e-04
66	-7.335399e+01	6.985506e-04
67	-7.335453e+01	1.086404e-02
68	-7.335453e+01	6.355525e-03
69	-7.335453e+01	4.105169e-01
70	-7.335453e+01	9.295884e-04
71	-7.335455e+01	9.183465e-03
72	-7.335455e+01	4.238751e-01
73	-7.335456e+01	1.432854e-02
74	-7.335456e+01	1.020751e-02
75	-7.335484e+01	3.739189e-02
76	-7.335484e+01	4.853560e-01
77	-7.335485e+01	1.533821e-04
78	-7.335485e+01	2.123015e-02
79	-7.335485e+01	5.498917e-02
80	-7.335485e+01	1.055534e-04
81	-7.335485e+01	5.132777e-04
82	-7.335485e+01	3.838113e-02
83	-7.335485e+01	2.246561e-03
84	-7.335485e+01	4.476935e-02
85	-7.335485e+01	3.782507e-03
86	-7.335485e+01	1.113937e-01
87	-7.335485e+01	4.967135e-04
88	-7.335486e+01	4.023800e-04
89	-7.335486e+01	9.778409e-04
90	-7.335486e+01	2.812105e-04
91	-7.335486e+01	3.423827e-04
92	-7.335486e+01	2.439233e-04
93	-7.335486e+01	4.364420e-03
94	-7.335486e+01	1.345596e-03
95	-7.335486e+01	2.203450e-04
96	-7.335486e+01	1.176558e-01
97	-7.335486e+01	1.696169e-03
98	-7.335486e+01	5.726723e-03
99	-7.335497e+01	8.701664e-01
100	-7.335498e+01	1.559560e-01
101	-7.335498e+01	8.079107e-02
102	-7.335504e+01	1.670672e-03
103	-7.335504e+01	3.733459e-02
104	-7.335512e+01	5.203625e-04
105	-7.335512e+01	6.037997e-04
106	-7.335512e+01	8.561464e-03
107	-7.335513e+01	7.627787e-03
108	-7.335513e+01	5.804227e-03
109	-7.335513e+01	6.288903e-02
110	-7.335516e+01	2.167618e-02
111	-7.335516e+01	6.017085e-02
112	-7.335518e+01	3.367633e-02
113	-7.335518e+01	3.004459e-03
114	-7.335518e+01	7.914466e-05
115	-7.335518e+01	9.839689e-03
116	-7.335518e+01	2.285072e-02
117	-7.335518e+01	1.054886e-02
118	-7.335519e+01	6.044388e-03
119	-7.335519e+01	1.034689e-04
120	-7.335519e+01	8.838074e-04
121	-7.335519e+01	5.111027e-03
122	-7.335519e+01	5.028767e-03
123	-7.335519e+01	4.491813e-05
124	-7.335519e+01	1.053504e-02
125	-7.335519e+01	7.672491e-04
126	-7.335519e+01	2.643898e-03
127	-7.335519e+01	8.754824e-03
128	-7.335519e+01	2.763762e-01
129	-7.335519e+01	2.066992e-03
130	-7.335543e+01	5.027551e-03
131	-7.335543e+01	6.129522e-04
132	-7.335543e+01	3.303552e-03
133	-7.335543e+01	3.393695e-04
134	-7.335543e+01	6.387893e-02
135	-7.335543e+01	6.446675e-03
136	-7.335543e+01	2.901142e-05
137	-7.335543e+01	9.662074e-05
138	-7.335543e+01	8.048264e-05
139	-7.335543e+01	2.994948e-04
140	-7.335543e+01	7.386300e-02
141	-7.335543e+01	1.806950e-04
142	-7.335543e+01	2.316297e-03
143	-7.335543e+01	2.681650e-03
144	-7.335543e+01	5.595700e-04
145	-7.335543e+01	6.930616e-04
146	-7.335543e+01	7.522020e-04
147	-7.335543e+01	5.937444e-04
148	-7.335545e+01	4.780555e-02
149	-7.335545e+01	9.230605e-04
150	-7.335545e+01	1.750046e-03
151	-7.335585e+01	3.960026e-02
152	-7.335586e+01	8.566785e-02
153	-7.335586e+01	3.995665e-03
154	-7.335586e+01	1.271570e-02
155	-7.335586e+01	3.571742e-03
156	-7.335586e+01	1.009933e-01
157	-7.335586e+01	3.883355e-03
158	-7.335589e+01	9.683011e-04
159	-7.335589e+01	9.152534e-04
160	-7.335589e+01	2.009498e-04
161	-7.335589e+01	4.906656e-03
162	-7.335590e+01	7.389692e-01
163	-7.335592e+01	7.078491e-03
164	-7.335601e+01	1.696188e-01
165	-7.335602e+01	2.490970e-01
166	-7.335602e+01	1.420581e-03
167	-7.335602e+01	4.160008e-04
168	-7.335602e+01	6.178624e-02
169	-7.335602e+01	2.012994e-02
170	-7.335602e+01	7.076032e-03
171	-7.335602e+01	6.157750e-03
172	-7.335602e+01	2.371223e-02
173	-7.335608e+01	1.411468e-04
174	-7.335608e+01	6.837992e-05
175	-7.335608e+01	8.139738e-05
176	-7.335608e+01	5.489245e-03
177	-7.335608e+01	9.979231e-02
178	-7.335608e+01	5.795140e-03
179	-7.335608e+01	1.731798e-02
180	-7.335608e+01	2.752640e-03
181	-7.335608e+01	2.673099e-01
182	-7.335609e+01	4.511442e-04
183	-7.335609e+01	4.136266e-02
184	-7.335609e+01	4.139561e-01
185	-7.335609e+01	2.029716e-03
186	-7.335609e+01	4.498115e-04
187	-7.335609e+01	2.055831e-03
188	-7.335609e+01	9.131715e-04
189	-7.335609e+01	1.691742e-03
190	-7.335609e+01	4.480464e-02
191	-7.335609e+01	2.129801e-04
192	-7.335609e+01	1.826467e-04
193	-7.335609e+01	7.406822e-03
194	-7.335609e+01	2.341672e-03
195	-7.335610e+01	3.290292e-04
196	-7.335610e+01	8.476864e-03
197	-7.335610e+01	4.637132e-04
198	-7.335610e+01	1.047852e-02
199	-7.335610e+01	2.734301e-03
200	-7.335610e+01	8.527920e-04
201	-7.335610e+01	5.790337e-04
202	-7.335610e+01	3.017282e-02
203	-7.335610e+01	6.431324e-03
204	-7.335610e+01	1.746956e-04
205	-7.335610e+01	1.745575e-04
206	-7.335610e+01	1.335639e-04
207	-7.335610e+01	8.246252e-04
208	-7.335610e+01	9.696434e-03
209	-7.335610e+01	1.366736e-01
210	-7.335610e+01	8.403512e-05
211	-7.335614e+01	9.338667e-01
212	-7.335615e+01	7.419951e-02
213	-7.335615e+01	4.704508e-04
214	-7.335615e+01	1.558705e-03
215	-7.335615e+01	6.552276e-04
216	-7.335615e+01	1.510325e-03
217	-7.335615e+01	1.589382e-02
218	-7.335615e+01	6.519989e-02
219	-7.335615e+01	8.714026e-04
220	-7.335615e+01	3.684349e-03
221	-7.335615e+01	7.979497e-03
222	-7.335629e+01	4.099486e-01
223	-7.335634e+01	2.185831e-03
224	-7.335634e+01	1.406293e-03
225	-7.335634e+01	1.316280e-03
226	-7.335634e+01	4.661219e-02
227	-7.335634e+01	6.622494e-02
228	-7.335634e+01	1.742325e-04
229	-7.335634e+01	5.619195e-04
230	-7.335634e+01	6.515806e-04
231	-7.335635e+01	6.413793e-02
232	-7.335659e+01	3.798647e-02
233	-7.335659e+01	1.638186e-02
234	-7.335659e+01	7.646502e-03
235	-7.335660e+01	2.710420e-02
236	-7.335660e+01	5.729915e-02
237	-7.335660e+01	2.782543e-03
238	-7.335660e+01	2.953880e-04
239	-7.335660e+01	1.389328e-04
240	-7.335660e+01	4.788065e-03
241	-7.335660e+01	5.836070e-03
242	-7.335660e+01	1.697868e-02
243	-7.335660e+01	4.215902e-03
244	-7.335660e+01	9.964081e-04
245	-7.335660e+01	3.040234e-03
246	-7.335660e+01	3.606310e-04
247	-7.335661e+01	1.266290e-03
248	-7.335661e+01	9.343125e-05
249	-7.335661e+01	3.336280e-04
250	-7.335661e+01	1.169005e-04
251	-7.335661e+01	5.345701e-04
252	-7.335661e+01	1.347218e-03
253	-7.335661e+01	3.749632e-03
254	-7.335661e+01	1.261767e-02
255	-7.335661e+01	2.698055e-04
256	-7.335661e+01	3.738229e-04
257	-7.335661e+01	2.836236e-02
258	-7.335661e+01	1.084575e-04
259	-7.335661e+01	7.244677e-05
260	-7.335661e+01	7.608103e-02
261	-7.335661e+01	4.180769e-04
262	-7.335661e+01	3.879326e-04
263	-7.335661e+01	1.884188e-03
264	-7.335661e+01	4.484085e-04
265	-7.335661e+01	2.727346e-04
266	-7.335661e+01	2.492893e-03
267	-7.335661e+01	8.701324e-03
268	-7.335662e+01	1.792051e-03
269	-7.335662e+01	9.518254e-02
270	-7.335662e+01	2.406482e-03
271	-7.335663e+01	1.038313e-02
272	-7.335663e+01	3.539594e-02
273	-7.335663e+01	1.006018e-02
274	-7.335663e+01	8.959260e-05
275	-7.335663e+01	2.367719e-02
276	-7.335663e+01	1.907215e-04
277	-7.335663e+01	2.158859e-04
278	-7.335663e+01	3.620936e-01
279	-7.335663e+01	3.822771e-04
280	-7.335663e+01	6.036677e-04
281	-7.335663e+01	1.205874e-03
282	-7.335663e+01	3.051416e-04
283	-7.335663e+01	7.056341e-05
284	-7.335663e+01	2.180855e-01
285	-7.335664e+01	3.645210e-03
286	-7.335664e+01	6.316362e-03
287	-7.335674e+01	6.135463e-01
288	-7.335674e+01	1.175807e-04
289	-7.335674e+01	4.483410e-04
290	-7.335674e+01	7.727688e-04
291	-7.335674e+01	1.536022e-04
292	-7.335674e+01	1.745803e-04
293	-7.335674e+01	1.317543e-02
294	-7.335674e+01	3.408342e-04
295	-7.335674e+01	1.428298e-03
296	-7.335675e+01	2.191352e-03
297	-7.335675e+01	1.609911e-04
298	-7.335676e+01	1.504074e-01
299	-7.335677e+01	1.424093e-01
300	-7.335677e+01	3.556754e-02
301	-7.335678e+01	6.667072e-03
302	-7.335679e+01	5.463813e-02
303	-7.335679e+01	1.206400e-03
304	-7.335679e+01	3.116082e-03
305	-7.335684e+01	1.541135e-01
306	-7.335684e+01	1.314187e-02
307	-7.335685e+01	9.015540e-04
308	-7.335685e+01	3.782617e-04
309	-7.335685e+01	2.276056e-04
310	-7.335685e+01	2.537676e-04
311	-7.335685e+01	1.416727e-02
312	-7.335685e+01	9.347464e-04
313	-7.335685e+01	4.251858e-03
314	-7.335685e+01	1.713674e-03
315	-7.335685e+01	2.213297e-04
316	-7.335685e+01	3.224097e-03
317	-7.335685e+01	2.108592e-03
318	-7.335685e+01	5.356798e-03
319	-7.335685e+01	3.905071e-03
320	-7.335685e+01	3.875519e-03
321	-7.335685e+01	4.886991e-02
322	-7.335685e+01	5.417183e-03
323	-7.335685e+01	1.590515e-04
324	-7.335685e+01	7.395276e-03
325	-7.335685e+01	6.448343e-05
326	-7.335685e+01	1.768919e-05
327	-7.335685e+01	3.594604e-05
328	-7.335685e+01	2.753216e-05
329	-7.335685e+01	8.688907e-04
330	-7.335685e+01	5.548619e-04
331	-7.335685e+01	4.684676e-03
332	-7.335685e+01	2.443972e-04
333	-7.335685e+01	1.181001e-02
334	-7.335685e+01	3.825045e-04
335	-7.335685e+01	4.275443e-03
336	-7.335685e+01	1.515599e-02
337	-7.335685e+01	7.934568e-05
338	-7.335685e+01	3.122779e-04
339	-7.335685e+01	2.568837e-02
340	-7.335685e+01	5.637668e-04
341	-7.335685e+01	2.400243e-05
342	-7.335685e+01	4.775789e-03
343	-7.335685e+01	5.087295e-04
344	-7.335685e+01	7.657931e-02
345	-7.335686e+01	4.167016e-01
346	-7.335686e+01	7.494088e-04
347	-7.335686e+01	2.951762e-05
348	-7.335686e+01	9.683441e-05
349	-7.335686e+01	5.988194e-04
350	-7.335686e+01	4.322601e-05
351	-7.335686e+01	4.753511e-03
352	-7.335686e+01	6.163108e-05
353	-7.335686e+01	9.755090e-03
354	-7.335686e+01	7.538955e-02
355	-7.335686e+01	2.443096e-03
356	-7.335686e+01	4.519649e-03
357	-7.335686e+01	9.081392e-02
358	-7.335686e+01	3.019203e-04
