# ||A||_2 = 5.644807545396e+04, condition number = 1.176271191151e+15, 451 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-1.129462800100e+03	1.897628e-08	1.020339e+04	2.131406e-03	9.868109e-02
1.000000e-16	1.771540e-21	-1.129462800100e+03	1.897628e-08	1.020339e+04	2.131406e-03	9.868109e-02
1.000000e-15	1.771540e-20	-1.129462800100e+03	1.897628e-08	1.020339e+04	2.131406e-03	9.868109e-02
1.000000e-14	1.771540e-19	-1.129462800100e+03	1.897628e-08	1.020339e+04	2.131406e-03	9.868109e-02
1.000000e-13	1.771540e-18	-1.129462798918e+03	1.919655e-08	1.018980e+04	2.131708e-03	9.868055e-02
1.000000e-12	1.771540e-17	-1.129462797298e+03	2.069671e-08	1.017845e+04	2.131575e-03	9.866952e-02
1.000000e-11	1.771540e-16	-1.129462784986e+03	9.937815e-08	9.940368e+03	2.137454e-03	9.863024e-02
1.000000e-10	1.771540e-15	-1.129462030787e+03	8.229346e-07	8.240219e+03	2.208703e-03	9.873569e-02
1.000000e-09	1.771540e-14	-1.129453250906e+03	4.206186e-06	4.205345e+03	2.726924e-03	1.033138e-01
1.000000e-08	1.771540e-13	-1.129432253727e+03	1.668027e-05	1.668031e+03	3.727727e-03	1.112416e-01
1.000000e-07	1.771540e-12	-1.129399416212e+03	6.173697e-05	6.173715e+02	5.198594e-03	1.195424e-01
1.000000e-06	1.771540e-11	-1.129354913637e+03	2.223037e-04	2.223037e+02	7.341810e-03	1.297296e-01
1.000000e-05	1.771540e-10	-1.129297149991e+03	8.009827e-04	8.009827e+01	1.035229e-02	1.415885e-01
1.000000e-04	1.771540e-09	-1.129223181366e+03	2.936215e-03	2.936215e+01	1.448166e-02	1.549267e-01
1.000000e-03	1.771540e-08	-1.129121310013e+03	1.080390e-02	1.080390e+01	2.040590e-02	1.719403e-01
1.000000e-02	1.771540e-07	-1.128994921057e+03	4.251075e-02	4.251075e+00	2.780436e-02	1.901753e-01
1.000000e-01	1.771540e-06	-1.128782661815e+03	1.913914e-01	1.913914e+00	4.163875e-02	2.230759e-01
1.000000e+00	1.771540e-05	-1.128349028100e+03	8.454130e-01	8.454130e-01	6.300612e-02	2.721668e-01
