# ||A||_2 = 1.031117033981e+05, condition number = 8.432753061869e+19, 484 unknowns, random quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-7.471154681434e+01	9.988236e-07	7.812588e+05	2.674278e-02	4.295406e-01
1.000000e-16	9.698220e-22	-7.471154681434e+01	9.988236e-07	7.812588e+05	2.674278e-02	4.295406e-01
1.000000e-15	9.698220e-21	-7.471154681434e+01	9.988236e-07	7.812588e+05	2.674278e-02	4.295406e-01
1.000000e-14	9.698220e-20	-7.471154681434e+01	9.988236e-07	7.812588e+05	2.674278e-02	4.295406e-01
1.000000e-13	9.698220e-19	-7.501341088561e+01	3.108384e-06	2.293811e+06	7.959322e-02	1.318187e+00
1.000000e-12	9.698220e-18	-7.656603938839e+01	4.534313e-06	1.994826e+06	6.413163e-02	1.070101e+00
1.000000e-11	9.698220e-17	-7.468738944707e+01	2.590576e-07	2.594375e+04	9.728448e-03	9.117099e-02
1.000000e-10	9.698220e-16	-7.468043144005e+01	6.062825e-07	6.068229e+03	9.358557e-03	7.198350e-02
1.000000e-09	9.698220e-15	-7.467645882987e+01	1.581887e-06	1.581805e+03	8.921750e-03	5.684661e-02
1.000000e-08	9.698220e-14	-7.467355142353e+01	4.458225e-06	4.458303e+02	8.386278e-03	4.112619e-02
1.000000e-07	9.698220e-13	-7.467134467478e+01	1.088888e-05	1.088889e+02	8.047785e-03	3.226952e-02
1.000000e-06	9.698220e-12	-7.467008026676e+01	2.889583e-05	2.889584e+01	7.762661e-03	2.892136e-02
1.000000e-05	9.698220e-11	-7.466918165726e+01	1.221567e-04	1.221567e+01	7.506386e-03	2.829670e-02
1.000000e-04	9.698220e-10	-7.466762612605e+01	6.811150e-04	6.811150e+00	7.942249e-03	3.349816e-02
1.000000e-03	9.698220e-09	-7.466256532326e+01	3.955850e-03	3.955850e+00	1.139254e-02	4.717090e-02
1.000000e-02	9.698220e-08	-7.464687776661e+01	2.223083e-02	2.223083e+00	2.745492e-02	8.225771e-02
1.000000e-01	9.698220e-07	-7.458742938557e+01	1.213555e-01	1.213555e+00	6.673783e-02	1.478320e-01
1.000000e+00	9.698220e-06	-7.444113283713e+01	6.953035e-01	6.953035e-01	8.352646e-02	1.999655e-01
