# ||A||_2 = 1.031825026911e+05, condition number = 5.894241091062e+18, 484 unknowns, uniform quadrature
lambda	lambda_rel	energy	residual	coeff_norm	L2-error	H1-error
0.000000e+00	0.000000e+00	-7.177565611423e+01	6.600792e-06	5.411898e+06	1.876768e-01	3.275586e+00
1.000000e-16	9.691566e-22	-7.177565611423e+01	6.600792e-06	5.411898e+06	1.876768e-01	3.275586e+00
1.000000e-15	9.691566e-21	-7.177565611423e+01	6.600792e-06	5.411898e+06	1.876768e-01	3.275586e+00
1.000000e-14	9.691566e-20	-7.177565611423e+01	6.600792e-06	5.411898e+06	1.876768e-01	3.275586e+00
1.000000e-13	9.691566e-19	-7.349137085670e+01	1.193601e-06	1.407831e+06	5.150551e-02	7.968679e-01
1.000000e-12	9.691566e-18	-7.418033869085e+01	1.489432e-06	1.268125e+06	4.714889e-02	7.378085e-01
1.000000e-11	9.691566e-17	-7.339716607441e+01	5.630166e-07	5.498580e+04	3.015918e-02	2.769136e-01
1.000000e-10	9.691566e-16	-7.337064934920e+01	8.727980e-07	8.690748e+03	1.949260e-02	1.370307e-01
1.000000e-09	9.691566e-15	-7.336266043301e+01	1.890203e-06	1.889954e+03	1.568902e-02	8.683313e-02
1.000000e-08	9.691566e-14	-7.335878596659e+01	4.599784e-06	4.599696e+02	1.369258e-02	6.058453e-02
1.000000e-07	9.691566e-13	-7.335645565461e+01	1.262204e-05	1.262205e+02	1.242349e-02	4.436860e-02
1.000000e-06	9.691566e-12	-7.335468510975e+01	4.062954e-05	4.062954e+01	1.157295e-02	3.387566e-02
1.000000e-05	9.691566e-11	-7.335280729457e+01	1.627644e-04	1.627644e+01	1.120166e-02	2.855291e-02
1.000000e-04	9.691566e-10	-7.334991988457e+01	7.851783e-04	7.851783e+00	1.268288e-02	3.365113e-02
1.000000e-03	9.691566e-09	-7.334311590656e+01	4.196450e-03	4.196450e+00	1.663986e-02	4.809144e-02
1.000000e-02	9.691566e-08	-7.332513230679e+01	2.248474e-02	2.248474e+00	3.327022e-02	8.567297e-02
1.000000e-01	9.691566e-07	-7.326433153144e+01	1.226285e-01	1.226285e+00	7.018515e-02	1.500381e-01
1.000000e+00	9.691566e-06	-7.311461020028e+01	6.970160e-01	6.970160e-01	8.295889e-02	2.000986e-01
