n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb	n_seeds	L2_min	L2_max	L2_err_minus	L2_err_plus	H1_min	H1_max	H1_err_minus	H1_err_plus
1	0.5	12	0.0452508	0.225345	528.2600	66.80	3	0.0452413	0.045261	9.5e-06	1.02e-05	0.225334	0.22536	1.1e-05	1.5e-05
2	0.3333333333333333	16	0.0325335	0.206536	387.9100	75.75	3	0.0325315	0.0325492	2e-06	1.57e-05	0.206528	0.206561	8.00000000001e-06	2.5e-05
4	0.2	30	0.0312554	0.196432	388.5300	111.69	3	0.0312404	0.0312697	1.5e-05	1.43e-05	0.196389	0.196439	4.3e-05	7.00000000001e-06
6	0.14285714285714285	50	0.0196058	0.171456	392.4200	162.97	3	0.019556	0.0196127	4.98e-05	6.9e-06	0.171366	0.171496	9e-05	4e-05
8	0.1111111111111111	85	0.0150298	0.175108	390.5500	240.60	3	0.0149988	0.0150536	3.1e-05	2.38e-05	0.174968	0.175261	0.00014	0.000153
10	0.09090909090909091	129	0.00750856	0.13624	391.0000	347.23	3	0.00745633	0.0075162	5.223e-05	7.64e-06	0.13613	0.136257	0.00011	1.7e-05
12	0.07692307692307693	164	0.005825	0.128777	392.7300	547.63	3	0.00579514	0.00584514	2.986e-05	2.014e-05	0.128722	0.128857	5.5e-05	8e-05
14	0.06666666666666667	226	0.00493443	0.13035	392.8100	590.72	3	0.00492189	0.00499343	1.254e-05	5.9e-05	0.130259	0.130566	9.1e-05	0.000216
16	0.058823529411764705	279	0.00403481	0.124085	391.8800	694.54	3	0.0040291	0.00405548	5.71e-06	2.067e-05	0.124046	0.124303	3.9e-05	0.000218
18	0.05263157894736842	349	0.00323471	0.112551	394.1300	863.70	3	0.00322717	0.00325009	7.54e-06	1.538e-05	0.112521	0.11267	3e-05	0.000119
20	0.047619047619047616	451	0.00249798	0.11111	400.2200	1097.53	3	0.00249205	0.00251404	5.93e-06	1.606e-05	0.111084	0.111395	2.6e-05	0.000285
