n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	12	0.057297	0.234674	235.1400	79.41
2	0.3333333333333333	16	0.0647275	0.25948	249.6700	84.76
4	0.2	30	0.0356401	0.200896	304.7800	101.39
6	0.14285714285714285	50	0.0207769	0.166071	370.6300	128.60
8	0.1111111111111111	85	0.0128376	0.14627	481.2500	171.32
10	0.09090909090909091	129	0.00725212	0.121018	619.5000	224.93
12	0.07692307692307693	164	0.00573029	0.113495	721.8000	266.46
14	0.06666666666666667	226	0.00423214	0.104433	911.2900	353.25
16	0.058823529411764705	279	0.00348228	0.0988885	1079.9300	417.50
18	0.05263157894736842	349	0.00299025	0.0905411	1315.7500	491.93
20	0.047619047619047616	451	0.00217991	0.0860366	1620.6300	617.14
