i, epoch, loss, l2_err, h1_err
  0     1 -7.29582e+01 1.00092e+00 1.05054e+00
  1     2 -1.42457e+02 1.00012e+00 1.09983e+00
  2     3 -2.09813e+02 9.97013e-01 1.15578e+00
  3     4 -2.71308e+02 9.91573e-01 1.21121e+00
  4     5 -3.30356e+02 9.83386e-01 1.25968e+00
  5     6 -3.87013e+02 9.72228e-01 1.30094e+00
  6     7 -4.51509e+02 9.58677e-01 1.33454e+00
  7     9 -5.47639e+02 9.24710e-01 1.37815e+00
  8    11 -6.33484e+02 8.82956e-01 1.39153e+00
  9    13 -7.27213e+02 8.35808e-01 1.38083e+00
 10    16 -8.21800e+02 7.59439e-01 1.33491e+00
 11    20 -9.28064e+02 6.53482e-01 1.23439e+00
 12    24 -1.00073e+03 5.46960e-01 1.10151e+00
 13    29 -1.06471e+03 4.19494e-01 9.10660e-01
 14    35 -1.10275e+03 2.83345e-01 6.79083e-01
 15    42 -1.13941e+03 1.58434e-01 4.54455e-01
 16    51 -1.13674e+03 6.41712e-02 2.84202e-01
 17    62 -1.12243e+03 3.51406e-02 2.09250e-01
 18    75 -1.12172e+03 2.33544e-02 1.58171e-01
 19    91 -1.14052e+03 1.14233e-02 1.35027e-01
 20   109 -1.13479e+03 6.06537e-03 1.31622e-01
 21   132 -1.10696e+03 6.23828e-03 1.30730e-01
 22   159 -1.12318e+03 5.74706e-03 1.28600e-01
 23   193 -1.14311e+03 5.54250e-03 1.28654e-01
 24   232 -1.11906e+03 6.83014e-03 1.32595e-01
 25   281 -1.12421e+03 5.55806e-03 1.29411e-01
 26   339 -1.12721e+03 6.20796e-03 1.29212e-01
 27   409 -1.13679e+03 6.11192e-03 1.31447e-01
 28   494 -1.14160e+03 6.38450e-03 1.31177e-01
 29   596 -1.15916e+03 6.22002e-03 1.29790e-01
 30   719 -1.13989e+03 6.09888e-03 1.29675e-01
 31   868 -1.13345e+03 5.77709e-03 1.29341e-01
 32  1048 -1.13572e+03 5.61294e-03 1.28184e-01
 33  1264 -1.11418e+03 5.81426e-03 1.28745e-01
 34  1526 -1.11712e+03 5.84065e-03 1.29008e-01
 35  1842 -1.11238e+03 5.84104e-03 1.28752e-01
 36  2222 -1.12491e+03 5.84294e-03 1.28868e-01
 37  2682 -1.12896e+03 5.84569e-03 1.28834e-01
 38  3237 -1.11893e+03 5.81453e-03 1.28722e-01
 39  3906 -1.13304e+03 5.81783e-03 1.28740e-01
 40  4714 -1.12785e+03 5.81869e-03 1.28746e-01
 41  5689 -1.12078e+03 5.81845e-03 1.28748e-01
 42  6866 -1.12789e+03 5.82042e-03 1.28757e-01
 43  8286 -1.12318e+03 5.82031e-03 1.28760e-01
 44 10000 -1.11787e+03 5.82500e-03 1.28777e-01
