iteration	loss
0	0.000000e+00
1	-7.321650e+01
2	-1.430833e+02
3	-2.089336e+02
4	-2.724722e+02
5	-3.323796e+02
6	-3.884311e+02
7	-4.488876e+02
8	-5.015575e+02
9	-5.487009e+02
10	-5.915067e+02
11	-6.342369e+02
12	-6.840135e+02
13	-7.131638e+02
14	-7.494279e+02
15	-7.823714e+02
16	-8.155942e+02
17	-8.548357e+02
18	-8.794415e+02
19	-9.021340e+02
20	-9.242414e+02
21	-9.664801e+02
22	-9.765853e+02
23	-9.850673e+02
24	-9.963671e+02
25	-1.022178e+03
26	-1.034765e+03
27	-1.045798e+03
28	-1.051650e+03
29	-1.070929e+03
30	-1.077088e+03
31	-1.083087e+03
32	-1.087290e+03
33	-1.082949e+03
34	-1.105356e+03
35	-1.105661e+03
36	-1.100960e+03
37	-1.122816e+03
38	-1.117450e+03
39	-1.093128e+03
40	-1.096972e+03
41	-1.110784e+03
42	-1.128398e+03
43	-1.123754e+03
44	-1.127795e+03
45	-1.127632e+03
46	-1.123415e+03
47	-1.125835e+03
48	-1.141320e+03
49	-1.134015e+03
50	-1.150206e+03
51	-1.119620e+03
52	-1.137238e+03
53	-1.108556e+03
54	-1.109821e+03
55	-1.130383e+03
56	-1.107096e+03
57	-1.117004e+03
58	-1.136507e+03
59	-1.137669e+03
60	-1.125351e+03
61	-1.117744e+03
62	-1.129227e+03
63	-1.129762e+03
64	-1.128785e+03
65	-1.144271e+03
66	-1.156814e+03
67	-1.141034e+03
68	-1.128219e+03
69	-1.135848e+03
70	-1.128593e+03
71	-1.130138e+03
72	-1.136349e+03
73	-1.132456e+03
74	-1.128200e+03
75	-1.129195e+03
76	-1.144727e+03
77	-1.144950e+03
78	-1.125642e+03
79	-1.147380e+03
80	-1.134707e+03
81	-1.127013e+03
82	-1.123507e+03
83	-1.143118e+03
84	-1.124831e+03
85	-1.137256e+03
86	-1.118096e+03
87	-1.125214e+03
88	-1.137243e+03
89	-1.126299e+03
90	-1.134591e+03
91	-1.133255e+03
92	-1.120723e+03
93	-1.160976e+03
94	-1.128510e+03
95	-1.144512e+03
96	-1.161011e+03
97	-1.122181e+03
98	-1.105386e+03
99	-1.117637e+03
100	-1.122752e+03
101	-1.129337e+03
102	-1.138366e+03
103	-1.116796e+03
104	-1.124574e+03
105	-1.114700e+03
106	-1.118556e+03
107	-1.143207e+03
108	-1.120210e+03
109	-1.138816e+03
110	-1.131290e+03
111	-1.144168e+03
112	-1.130526e+03
113	-1.110768e+03
114	-1.140819e+03
115	-1.129362e+03
116	-1.129449e+03
117	-1.125478e+03
118	-1.147228e+03
119	-1.122862e+03
120	-1.114947e+03
121	-1.105874e+03
122	-1.131128e+03
123	-1.142151e+03
124	-1.140925e+03
125	-1.126277e+03
126	-1.136234e+03
127	-1.124693e+03
128	-1.116505e+03
129	-1.096377e+03
130	-1.132874e+03
131	-1.120201e+03
132	-1.137979e+03
133	-1.155005e+03
134	-1.143222e+03
135	-1.144872e+03
136	-1.127732e+03
137	-1.137342e+03
138	-1.138153e+03
139	-1.131348e+03
140	-1.114054e+03
141	-1.141117e+03
142	-1.138906e+03
143	-1.139284e+03
144	-1.114021e+03
145	-1.148527e+03
146	-1.131174e+03
147	-1.127325e+03
148	-1.109527e+03
149	-1.148255e+03
150	-1.130205e+03
151	-1.124047e+03
152	-1.117946e+03
153	-1.137756e+03
154	-1.147324e+03
155	-1.118238e+03
156	-1.137471e+03
157	-1.119207e+03
158	-1.142557e+03
159	-1.125172e+03
160	-1.145514e+03
161	-1.132336e+03
162	-1.124568e+03
163	-1.116579e+03
164	-1.110277e+03
165	-1.130785e+03
166	-1.152019e+03
167	-1.120009e+03
168	-1.138569e+03
169	-1.111995e+03
170	-1.133078e+03
171	-1.129260e+03
172	-1.125782e+03
173	-1.141100e+03
174	-1.130052e+03
175	-1.119348e+03
176	-1.123445e+03
177	-1.126197e+03
178	-1.135627e+03
179	-1.126611e+03
180	-1.121016e+03
181	-1.128528e+03
182	-1.144952e+03
183	-1.114335e+03
184	-1.117866e+03
185	-1.128044e+03
186	-1.144360e+03
187	-1.133180e+03
188	-1.118676e+03
189	-1.126941e+03
190	-1.151208e+03
191	-1.129008e+03
192	-1.113038e+03
193	-1.134735e+03
194	-1.118213e+03
195	-1.119561e+03
196	-1.108163e+03
197	-1.117936e+03
198	-1.129935e+03
199	-1.120133e+03
200	-1.125812e+03
201	-1.103080e+03
202	-1.131796e+03
203	-1.137104e+03
204	-1.115053e+03
205	-1.131370e+03
206	-1.127321e+03
207	-1.141038e+03
208	-1.144762e+03
209	-1.113201e+03
210	-1.141457e+03
211	-1.098702e+03
212	-1.130099e+03
213	-1.122628e+03
214	-1.123669e+03
215	-1.122267e+03
216	-1.117643e+03
217	-1.131296e+03
218	-1.128908e+03
219	-1.138677e+03
220	-1.127616e+03
221	-1.123433e+03
222	-1.119779e+03
223	-1.123886e+03
224	-1.129758e+03
225	-1.112597e+03
226	-1.126990e+03
227	-1.135949e+03
228	-1.126413e+03
229	-1.109382e+03
230	-1.141005e+03
231	-1.136266e+03
232	-1.149136e+03
233	-1.131845e+03
234	-1.132980e+03
235	-1.151355e+03
236	-1.132912e+03
237	-1.121557e+03
238	-1.137792e+03
239	-1.124523e+03
240	-1.104751e+03
241	-1.116308e+03
242	-1.148008e+03
243	-1.139465e+03
244	-1.147000e+03
245	-1.123749e+03
246	-1.135032e+03
247	-1.131706e+03
248	-1.104464e+03
249	-1.134154e+03
250	-1.133426e+03
251	-1.126737e+03
252	-1.131805e+03
253	-1.143257e+03
254	-1.124910e+03
255	-1.115751e+03
256	-1.115723e+03
257	-1.126095e+03
258	-1.129495e+03
259	-1.127251e+03
260	-1.127533e+03
261	-1.127369e+03
262	-1.114608e+03
263	-1.136036e+03
264	-1.127277e+03
265	-1.120410e+03
266	-1.111887e+03
267	-1.126020e+03
268	-1.127389e+03
269	-1.128020e+03
270	-1.152958e+03
271	-1.127275e+03
272	-1.123771e+03
273	-1.137784e+03
274	-1.118516e+03
275	-1.116756e+03
276	-1.121658e+03
277	-1.145990e+03
278	-1.102237e+03
279	-1.129638e+03
280	-1.121800e+03
281	-1.119597e+03
282	-1.136825e+03
283	-1.109374e+03
284	-1.139888e+03
285	-1.137145e+03
286	-1.124348e+03
287	-1.132506e+03
288	-1.116201e+03
289	-1.131420e+03
290	-1.112310e+03
291	-1.143340e+03
