i, epoch, loss, l2_err, h1_err
  0     1 -7.37337e+01 9.56383e-01 9.87154e-01
  1     2 -1.41926e+02 9.39133e-01 1.00121e+00
  2     3 -2.10548e+02 9.21841e-01 1.02385e+00
  3     4 -2.72196e+02 9.02704e-01 1.04716e+00
  4     5 -3.35294e+02 8.83555e-01 1.07338e+00
  5     6 -3.91299e+02 8.64047e-01 1.09991e+00
  6     7 -4.48744e+02 8.44293e-01 1.12482e+00
  7     9 -5.51596e+02 8.04517e-01 1.16896e+00
  8    11 -6.45543e+02 7.63656e-01 1.19958e+00
  9    13 -7.20171e+02 7.21602e-01 1.21203e+00
 10    16 -8.22379e+02 6.56955e-01 1.19228e+00
 11    20 -9.25639e+02 5.69757e-01 1.11311e+00
 12    24 -1.01221e+03 4.86946e-01 1.00867e+00
 13    29 -1.06792e+03 3.92377e-01 8.70785e-01
 14    35 -1.11232e+03 2.92333e-01 7.04713e-01
 15    42 -1.11280e+03 1.93741e-01 5.24794e-01
 16    51 -1.14153e+03 9.53663e-02 3.46142e-01
 17    62 -1.12217e+03 3.60186e-02 2.23549e-01
 18    75 -1.12782e+03 3.76872e-02 1.97626e-01
 19    91 -1.13480e+03 2.70066e-02 1.89402e-01
 20   109 -1.14320e+03 2.04501e-02 1.85936e-01
 21   132 -1.12347e+03 2.14536e-02 1.84925e-01
 22   159 -1.13404e+03 2.11094e-02 1.84398e-01
 23   193 -1.12430e+03 1.99888e-02 1.79909e-01
 24   232 -1.14455e+03 2.01991e-02 1.81403e-01
 25   281 -1.11888e+03 2.08908e-02 1.82292e-01
 26   339 -1.14237e+03 2.05893e-02 1.80509e-01
 27   409 -1.14852e+03 2.12307e-02 1.83516e-01
 28   494 -1.14057e+03 2.00320e-02 1.80453e-01
 29   596 -1.11108e+03 2.08161e-02 1.82086e-01
 30   719 -1.13619e+03 2.10510e-02 1.83021e-01
 31   868 -1.12636e+03 2.05905e-02 1.82223e-01
 32  1048 -1.11092e+03 2.07910e-02 1.83286e-01
 33  1264 -1.13249e+03 2.11003e-02 1.82945e-01
 34  1526 -1.12744e+03 2.05933e-02 1.81925e-01
 35  1842 -1.12141e+03 2.07926e-02 1.82707e-01
 36  2222 -1.11427e+03 2.07303e-02 1.82440e-01
 37  2682 -1.13325e+03 2.07877e-02 1.82663e-01
 38  3237 -1.10682e+03 2.07820e-02 1.82600e-01
 39  3906 -1.13521e+03 2.07717e-02 1.82558e-01
 40  4714 -1.11413e+03 2.07688e-02 1.82537e-01
 41  5689 -1.12080e+03 2.07721e-02 1.82544e-01
 42  6866 -1.13536e+03 2.07579e-02 1.82477e-01
 43  8286 -1.11610e+03 2.07602e-02 1.82471e-01
 44 10000 -1.14013e+03 2.07595e-02 1.82460e-01
