n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	12	0.609433	1.64942	453.6200	91.00
2	0.3333333333333333	16	0.539922	1.49334	452.4100	109.50
4	0.2	30	0.199284	0.824359	452.2800	180.66
6	0.14285714285714285	50	0.0485743	0.445544	455.9100	277.91
8	0.1111111111111111	85	0.0223461	0.290545	453.9500	428.73
10	0.09090909090909091	129	0.0117029	0.218418	454.4200	641.82
12	0.07692307692307693	164	0.00829547	0.187965	455.5400	868.25
14	0.06666666666666667	226	0.00524612	0.153222	455.8900	1081.31
16	0.058823529411764705	279	0.00406635	0.138438	455.4300	1326.69
18	0.05263157894736842	349	0.00341214	0.128941	463.2600	1661.27
20	0.047619047619047616	451	0.00237259	0.115728	479.2400	2123.35
