iteration	loss
0	0.000000e+00
1	-7.306819e+01
2	-1.427372e+02
3	-2.085606e+02
4	-2.718986e+02
5	-3.318729e+02
6	-3.880058e+02
7	-4.483506e+02
8	-5.011304e+02
9	-5.481376e+02
10	-5.909590e+02
11	-6.334858e+02
12	-6.831300e+02
13	-7.121795e+02
14	-7.481777e+02
15	-7.809653e+02
16	-8.140187e+02
17	-8.529513e+02
18	-8.774014e+02
19	-8.998309e+02
20	-9.218205e+02
21	-9.638785e+02
22	-9.737048e+02
23	-9.821581e+02
24	-9.935686e+02
25	-1.019086e+03
26	-1.031781e+03
27	-1.042616e+03
28	-1.048474e+03
29	-1.067684e+03
30	-1.073947e+03
31	-1.079977e+03
32	-1.084332e+03
33	-1.080109e+03
34	-1.102612e+03
35	-1.102976e+03
36	-1.098492e+03
37	-1.120477e+03
38	-1.115243e+03
39	-1.091068e+03
40	-1.095060e+03
41	-1.109016e+03
42	-1.126715e+03
43	-1.122285e+03
44	-1.126523e+03
45	-1.126434e+03
46	-1.122407e+03
47	-1.124974e+03
48	-1.140523e+03
49	-1.133346e+03
50	-1.149627e+03
51	-1.119127e+03
52	-1.136817e+03
53	-1.108237e+03
54	-1.109556e+03
55	-1.130160e+03
56	-1.106937e+03
57	-1.116850e+03
58	-1.136411e+03
59	-1.137584e+03
60	-1.125302e+03
61	-1.117704e+03
62	-1.129186e+03
63	-1.129733e+03
64	-1.128783e+03
65	-1.144262e+03
66	-1.156782e+03
67	-1.140995e+03
68	-1.128155e+03
69	-1.135824e+03
70	-1.128567e+03
71	-1.130106e+03
72	-1.136317e+03
73	-1.132396e+03
74	-1.128128e+03
75	-1.129113e+03
76	-1.144645e+03
77	-1.144864e+03
78	-1.125538e+03
79	-1.147273e+03
80	-1.134600e+03
81	-1.126936e+03
82	-1.123403e+03
83	-1.143006e+03
84	-1.124725e+03
85	-1.137159e+03
86	-1.117986e+03
87	-1.125110e+03
88	-1.137157e+03
89	-1.126208e+03
90	-1.134503e+03
91	-1.133166e+03
92	-1.120625e+03
93	-1.160895e+03
94	-1.128422e+03
95	-1.144424e+03
96	-1.160923e+03
97	-1.122097e+03
98	-1.105304e+03
99	-1.117557e+03
100	-1.122667e+03
101	-1.129267e+03
102	-1.138280e+03
103	-1.116708e+03
104	-1.124493e+03
105	-1.114618e+03
106	-1.118471e+03
107	-1.143122e+03
108	-1.120129e+03
109	-1.138732e+03
110	-1.131201e+03
111	-1.144088e+03
112	-1.130458e+03
113	-1.110679e+03
114	-1.140735e+03
115	-1.129286e+03
116	-1.129367e+03
117	-1.125397e+03
118	-1.147146e+03
119	-1.122781e+03
120	-1.114866e+03
121	-1.105791e+03
122	-1.131046e+03
123	-1.142070e+03
124	-1.140845e+03
125	-1.126186e+03
126	-1.136153e+03
127	-1.124605e+03
128	-1.116422e+03
129	-1.096289e+03
130	-1.132790e+03
131	-1.120113e+03
132	-1.137894e+03
133	-1.154920e+03
134	-1.143143e+03
135	-1.144792e+03
136	-1.127656e+03
137	-1.137251e+03
138	-1.138074e+03
139	-1.131272e+03
140	-1.113973e+03
141	-1.141038e+03
142	-1.138823e+03
143	-1.139204e+03
144	-1.113944e+03
145	-1.148446e+03
146	-1.131090e+03
147	-1.127242e+03
148	-1.109447e+03
149	-1.148177e+03
150	-1.130124e+03
151	-1.123966e+03
152	-1.117864e+03
153	-1.137675e+03
154	-1.147240e+03
155	-1.118152e+03
156	-1.137384e+03
157	-1.119120e+03
158	-1.142468e+03
159	-1.125087e+03
160	-1.145431e+03
161	-1.132255e+03
162	-1.124484e+03
163	-1.116488e+03
164	-1.110198e+03
165	-1.130702e+03
166	-1.151936e+03
167	-1.119924e+03
168	-1.138488e+03
169	-1.111912e+03
170	-1.132993e+03
171	-1.129180e+03
172	-1.125701e+03
173	-1.141009e+03
174	-1.129965e+03
175	-1.119268e+03
176	-1.123357e+03
177	-1.126113e+03
178	-1.135545e+03
179	-1.126530e+03
180	-1.120932e+03
181	-1.128452e+03
182	-1.144869e+03
183	-1.114257e+03
184	-1.117781e+03
185	-1.127953e+03
186	-1.144273e+03
187	-1.133089e+03
188	-1.118599e+03
189	-1.126861e+03
190	-1.151121e+03
191	-1.128917e+03
192	-1.112955e+03
193	-1.134654e+03
194	-1.118123e+03
195	-1.119475e+03
196	-1.108083e+03
197	-1.117858e+03
198	-1.129847e+03
199	-1.120050e+03
200	-1.125730e+03
201	-1.103000e+03
202	-1.131714e+03
203	-1.137019e+03
204	-1.114963e+03
205	-1.131284e+03
206	-1.127238e+03
207	-1.140951e+03
208	-1.144678e+03
209	-1.113129e+03
210	-1.141371e+03
211	-1.098613e+03
212	-1.130015e+03
