i, epoch, loss, l2_err, h1_err
  0     1 -7.44196e+01 9.72541e-01 1.03555e+00
  1     2 -1.44939e+02 9.60325e-01 1.08759e+00
  2     3 -2.14103e+02 9.48216e-01 1.14113e+00
  3     4 -2.74086e+02 9.35930e-01 1.19354e+00
  4     5 -3.37397e+02 9.22470e-01 1.23942e+00
  5     6 -3.92292e+02 9.08077e-01 1.27688e+00
  6     7 -4.52954e+02 8.93283e-01 1.30086e+00
  7     9 -5.54228e+02 8.61800e-01 1.32767e+00
  8    11 -6.43677e+02 8.27353e-01 1.33976e+00
  9    13 -7.25004e+02 7.90820e-01 1.33980e+00
 10    16 -8.38633e+02 7.34183e-01 1.32688e+00
 11    20 -9.28190e+02 6.58597e-01 1.29641e+00
 12    24 -1.01697e+03 5.85321e-01 1.25286e+00
 13    29 -1.06436e+03 4.97198e-01 1.17147e+00
 14    35 -1.11327e+03 3.96954e-01 1.03497e+00
 15    42 -1.11103e+03 2.89686e-01 8.48750e-01
 16    51 -1.11919e+03 1.69884e-01 6.22558e-01
 17    62 -1.13958e+03 6.92979e-02 4.35771e-01
 18    75 -1.12869e+03 3.79219e-02 3.75895e-01
 19    91 -1.13028e+03 3.86169e-02 3.72596e-01
 20   109 -1.12937e+03 3.12405e-02 3.68077e-01
 21   132 -1.12173e+03 2.88388e-02 3.63838e-01
 22   159 -1.13195e+03 2.91961e-02 3.65444e-01
 23   193 -1.10751e+03 2.89756e-02 3.65005e-01
 24   232 -1.13325e+03 2.93428e-02 3.66187e-01
 25   281 -1.14381e+03 2.87750e-02 3.64121e-01
 26   339 -1.13058e+03 2.92044e-02 3.66471e-01
 27   409 -1.13195e+03 2.89924e-02 3.65734e-01
 28   494 -1.14475e+03 2.93778e-02 3.64674e-01
 29   596 -1.12568e+03 2.91255e-02 3.63811e-01
 30   719 -1.12980e+03 2.92693e-02 3.66515e-01
 31   868 -1.13717e+03 2.98001e-02 3.67687e-01
 32  1048 -1.14224e+03 2.90394e-02 3.64403e-01
 33  1264 -1.13137e+03 2.91974e-02 3.64102e-01
 34  1526 -1.11644e+03 2.92187e-02 3.65245e-01
 35  1842 -1.12259e+03 2.91996e-02 3.65571e-01
 36  2222 -1.13195e+03 2.90947e-02 3.65012e-01
 37  2682 -1.14487e+03 2.91037e-02 3.65018e-01
 38  3237 -1.14589e+03 2.91026e-02 3.65002e-01
 39  3906 -1.14270e+03 2.91011e-02 3.64991e-01
 40  4714 -1.12183e+03 2.91022e-02 3.64997e-01
 41  5689 -1.11391e+03 2.91031e-02 3.65000e-01
 42  6866 -1.11399e+03 2.91051e-02 3.65005e-01
 43  8286 -1.12239e+03 2.91067e-02 3.65014e-01
 44 10000 -1.12987e+03 2.91091e-02 3.65023e-01
