n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	9	0.0742314	0.191896	180.9600	73.69
2	0.3333333333333333	16	0.0280326	0.106398	208.4200	80.63
4	0.2	36	0.00652088	0.0437741	281.0100	101.25
6	0.14285714285714285	64	0.00238547	0.0235134	367.9900	129.68
8	0.1111111111111111	100	0.00111462	0.0146115	473.4300	164.02
10	0.09090909090909091	144	0.000610109	0.0100533	624.1400	207.75
12	0.07692307692307693	196	0.000449727	0.00737748	780.1500	259.46
14	0.06666666666666667	256	0.000409915	0.00576339	964.3900	325.28
16	0.058823529411764705	324	0.000346176	0.0047791	1179.7400	387.47
18	0.05263157894736842	400	0.00024663	0.00411911	1414.9400	463.71
20	0.047619047619047616	484	0.000353212	0.00402867	1668.9100	546.70
