n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb	n_seeds	L2_min	L2_max	L2_err_minus	L2_err_plus	H1_min	H1_max	H1_err_minus	H1_err_plus
1	0.5	9	0.0619738	0.159118	373.9400	69.87	3	0.0619682	0.0619897	5.6e-06	1.59e-05	0.1591	0.159118	1.8e-05	0
2	0.3333333333333333	16	0.0192617	0.0740108	371.6500	101.60	3	0.0192546	0.0192701	7.1e-06	8.4e-06	0.0740099	0.074021	8.99999999998e-07	1.02e-05
4	0.2	36	0.002848	0.0198343	373.6200	195.10	3	0.00284515	0.00286023	2.85e-06	1.223e-05	0.0198279	0.019855	6.4e-06	2.07e-05
6	0.14285714285714285	64	0.000772128	0.00806869	375.5100	321.36	3	0.000770159	0.000789217	1.969e-06	1.7089e-05	0.0080348	0.00811346	3.389e-05	4.477e-05
8	0.1111111111111111	100	0.000349006	0.00434534	378.1900	486.20	3	0.000322958	0.000430805	2.6048e-05	8.1799e-05	0.00422541	0.0043481	0.00011993	2.76e-06
10	0.09090909090909091	144	0.000313535	0.00284165	378.3900	751.84	3	0.000292284	0.000355253	2.1251e-05	4.1718e-05	0.00280894	0.00285712	3.271e-05	1.547e-05
12	0.07692307692307693	196	0.000274948	0.00235703	378.1800	1012.67	3	0.000273902	0.000280623	1.046e-06	5.675e-06	0.00230075	0.00237441	5.628e-05	1.738e-05
14	0.06666666666666667	256	0.000316142	0.00233568	377.1200	1317.76	3	0.000248981	0.0004631	6.7161e-05	0.000146958	0.00216175	0.00238333	0.00017393	4.765e-05
16	0.058823529411764705	324	0.000395583	0.00234834	385.9500	1593.09	3	0.000295344	0.000526003	0.000100239	0.00013042	0.00232392	0.00256243	2.442e-05	0.00021409
18	0.05263157894736842	400	0.000408685	0.00262191	397.1000	1898.11	3	0.000387434	0.000595922	2.1251e-05	0.000187237	0.00260133	0.0029294	2.058e-05	0.00030749
20	0.047619047619047616	484	0.00038978	0.00322651	405.5400	2290.61	3	0.000328171	0.000493876	6.1609e-05	0.000104096	0.00294497	0.00341308	0.00028154	0.00018657
