iteration	loss
0	0.000000e+00
1	-9.547406e+00
2	-1.836691e+01
3	-2.573940e+01
4	-3.214149e+01
5	-3.794561e+01
6	-4.375339e+01
7	-5.020246e+01
8	-5.351276e+01
9	-5.411203e+01
10	-5.867855e+01
11	-6.227573e+01
12	-6.371427e+01
13	-6.656385e+01
14	-6.811912e+01
15	-6.760591e+01
16	-6.884412e+01
17	-7.363929e+01
18	-6.855680e+01
19	-7.282475e+01
20	-6.965128e+01
21	-7.290596e+01
22	-7.247199e+01
23	-6.775136e+01
24	-7.140393e+01
25	-7.204668e+01
26	-7.391865e+01
27	-7.154469e+01
28	-6.743028e+01
29	-7.217145e+01
30	-7.280230e+01
31	-7.285520e+01
32	-7.072000e+01
33	-7.064261e+01
34	-7.194000e+01
35	-7.051812e+01
36	-7.223983e+01
37	-7.105060e+01
38	-7.634308e+01
39	-7.398320e+01
40	-7.426849e+01
41	-7.233211e+01
42	-7.207959e+01
43	-7.314658e+01
44	-7.034159e+01
45	-7.507649e+01
46	-7.274417e+01
47	-7.211403e+01
48	-7.586921e+01
49	-7.425348e+01
50	-7.397626e+01
51	-7.190469e+01
52	-7.204629e+01
53	-7.146431e+01
54	-7.444449e+01
55	-7.259108e+01
56	-7.628405e+01
57	-7.662198e+01
58	-7.210413e+01
59	-7.265457e+01
60	-7.289771e+01
61	-7.612216e+01
62	-7.549828e+01
63	-7.417730e+01
64	-7.535264e+01
65	-7.222750e+01
66	-7.554779e+01
67	-7.769705e+01
68	-7.552732e+01
69	-7.207529e+01
70	-7.193008e+01
71	-7.640833e+01
72	-7.433665e+01
73	-7.186683e+01
74	-7.494550e+01
75	-7.495517e+01
76	-7.545448e+01
77	-7.137134e+01
78	-7.005111e+01
79	-7.131483e+01
80	-7.054370e+01
81	-6.943492e+01
82	-6.992083e+01
83	-7.218124e+01
84	-7.237123e+01
85	-7.440503e+01
86	-7.283054e+01
87	-7.427979e+01
88	-7.300615e+01
89	-7.261699e+01
90	-7.268744e+01
91	-7.227245e+01
92	-7.249132e+01
93	-7.299945e+01
94	-7.474847e+01
95	-6.797976e+01
96	-7.182773e+01
97	-7.632383e+01
98	-7.246926e+01
99	-7.289571e+01
100	-7.626305e+01
101	-7.350300e+01
102	-7.112544e+01
103	-7.284873e+01
104	-7.176357e+01
105	-7.317799e+01
106	-6.951954e+01
107	-7.147636e+01
108	-7.249504e+01
109	-7.575071e+01
