i, epoch, loss, l2_err, h1_err
  0     1 -1.02293e+01 9.48661e-01 1.36133e+00
  1     2 -1.97984e+01 9.31572e-01 1.49068e+00
  2     3 -2.77075e+01 9.13698e-01 1.60794e+00
  3     4 -3.31825e+01 8.95377e-01 1.68473e+00
  4     5 -3.84780e+01 8.76974e-01 1.72820e+00
  5     6 -4.58507e+01 8.58225e-01 1.74662e+00
  6     7 -4.71457e+01 8.39510e-01 1.74830e+00
  7     9 -5.48278e+01 8.01947e-01 1.71701e+00
  8    11 -5.87480e+01 7.62921e-01 1.65142e+00
  9    13 -6.50532e+01 7.22462e-01 1.56466e+00
 10    16 -6.78576e+01 6.58516e-01 1.42428e+00
 11    20 -7.11240e+01 5.68184e-01 1.23389e+00
 12    24 -6.74776e+01 4.77061e-01 1.08442e+00
 13    29 -7.03163e+01 3.70845e-01 9.29728e-01
 14    35 -7.20615e+01 2.54884e-01 7.10857e-01
 15    42 -7.49218e+01 1.57123e-01 4.91510e-01
 16    51 -7.10818e+01 7.78271e-02 2.39256e-01
 17    62 -7.17392e+01 2.71874e-02 1.79547e-01
 18    75 -7.13336e+01 2.76090e-02 1.40439e-01
 19    91 -7.32172e+01 2.33696e-02 1.22376e-01
 20   109 -7.20758e+01 1.16632e-02 1.28845e-01
 21   132 -7.68702e+01 1.23948e-02 1.29325e-01
 22   159 -7.16081e+01 1.35809e-02 1.36987e-01
 23   193 -7.25566e+01 1.20676e-02 1.32518e-01
 24   232 -7.50511e+01 1.22917e-02 1.38485e-01
 25   281 -7.06809e+01 1.26379e-02 1.38999e-01
 26   339 -7.34540e+01 1.26739e-02 1.40908e-01
 27   409 -7.16322e+01 9.40963e-03 1.01628e-01
 28   494 -7.29437e+01 8.57837e-03 1.00693e-01
 29   596 -7.17531e+01 6.92809e-03 7.69929e-02
 30   719 -7.54173e+01 6.82817e-03 7.59887e-02
 31   868 -7.15568e+01 4.41737e-03 4.93713e-02
 32  1048 -7.49909e+01 4.29889e-03 5.00044e-02
 33  1264 -7.33572e+01 4.03110e-03 4.53362e-02
 34  1526 -6.86083e+01 2.57407e-03 2.97156e-02
 35  1842 -7.03008e+01 1.50896e-03 1.80544e-02
 36  2222 -7.16269e+01 9.48155e-04 1.16071e-02
 37  2682 -7.28248e+01 6.10820e-04 9.04859e-03
 38  3237 -7.28969e+01 4.98583e-04 8.07080e-03
 39  3906 -7.31517e+01 4.69579e-04 7.86627e-03
 40  4714 -7.61391e+01 4.54333e-04 7.76794e-03
 41  5689 -7.08667e+01 4.36705e-04 7.67689e-03
 42  6866 -7.12701e+01 4.19347e-04 7.59705e-03
 43  8286 -7.31114e+01 4.02958e-04 7.52229e-03
 44 10000 -6.97723e+01 3.87570e-04 7.43138e-03
