i, epoch, loss, l2_err, h1_err
  0     1 -1.39055e+01 9.67229e-01 2.15323e+00
  1     2 -2.48865e+01 9.56844e-01 2.57912e+00
  2     3 -3.02222e+01 9.46639e-01 2.93556e+00
  3     4 -3.62485e+01 9.36633e-01 3.16312e+00
  4     5 -4.06214e+01 9.26351e-01 3.28585e+00
  5     6 -4.43321e+01 9.15859e-01 3.34735e+00
  6     7 -4.95352e+01 9.05552e-01 3.37433e+00
  7     9 -5.28729e+01 8.85553e-01 3.31991e+00
  8    11 -5.79700e+01 8.66099e-01 3.14802e+00
  9    13 -5.68687e+01 8.47197e-01 2.93932e+00
 10    16 -6.21461e+01 8.19483e-01 2.61307e+00
 11    20 -6.71626e+01 7.86720e-01 2.21770e+00
 12    24 -6.60567e+01 7.58531e-01 1.93231e+00
 13    29 -6.95198e+01 7.16271e-01 1.70550e+00
 14    35 -6.99824e+01 6.51136e-01 1.51385e+00
 15    42 -7.62712e+01 5.65083e-01 1.30518e+00
 16    51 -7.20075e+01 4.57730e-01 1.00396e+00
 17    62 -7.11203e+01 3.41778e-01 6.95399e-01
 18    75 -7.79106e+01 2.36439e-01 4.41898e-01
 19    91 -7.46883e+01 1.45634e-01 2.75605e-01
 20   109 -7.30823e+01 7.93618e-02 2.10939e-01
 21   132 -6.96318e+01 3.17421e-02 1.83803e-01
 22   159 -7.44956e+01 1.33972e-02 1.90535e-01
 23   193 -7.50468e+01 1.15581e-02 1.91435e-01
 24   232 -7.40845e+01 1.17814e-02 1.94580e-01
 25   281 -7.35649e+01 9.33603e-03 1.58406e-01
 26   339 -7.29440e+01 8.00805e-03 1.28581e-01
 27   409 -7.00495e+01 9.34396e-03 1.47339e-01
 28   494 -7.38519e+01 8.76268e-03 1.44922e-01
 29   596 -7.60783e+01 5.89281e-03 9.70935e-02
 30   719 -7.31603e+01 6.91477e-03 1.12412e-01
 31   868 -7.05858e+01 4.65047e-03 7.40824e-02
 32  1048 -7.18191e+01 3.50746e-03 5.63962e-02
 33  1264 -7.04343e+01 2.64147e-03 4.28876e-02
 34  1526 -7.28124e+01 2.07533e-03 3.31636e-02
 35  1842 -7.52411e+01 1.48034e-03 2.20707e-02
 36  2222 -7.42786e+01 8.53510e-04 1.20681e-02
 37  2682 -7.14805e+01 5.80491e-04 7.06432e-03
 38  3237 -7.36154e+01 4.92920e-04 5.43464e-03
 39  3906 -7.37383e+01 4.71962e-04 4.91570e-03
 40  4714 -7.46743e+01 4.55279e-04 4.45980e-03
 41  5689 -7.71227e+01 4.41416e-04 4.13749e-03
 42  6866 -7.32770e+01 4.24501e-04 3.74392e-03
 43  8286 -7.53545e+01 4.05038e-04 3.29985e-03
 44 10000 -7.13335e+01 3.89780e-04 2.94497e-03
