i, epoch, loss, l2_err, h1_err
  0     1 -1.45370e+01 9.67393e-01 2.17459e+00
  1     2 -2.56147e+01 9.57218e-01 2.64995e+00
  2     3 -3.32828e+01 9.47379e-01 3.02667e+00
  3     4 -3.87814e+01 9.37474e-01 3.27591e+00
  4     5 -4.31847e+01 9.27433e-01 3.43172e+00
  5     6 -4.68083e+01 9.17298e-01 3.53006e+00
  6     7 -4.96892e+01 9.07268e-01 3.58598e+00
  7     9 -5.38317e+01 8.87532e-01 3.56711e+00
  8    11 -5.70790e+01 8.67943e-01 3.41972e+00
  9    13 -5.95812e+01 8.48595e-01 3.23088e+00
 10    16 -6.22881e+01 8.19671e-01 2.90506e+00
 11    20 -6.49695e+01 7.85190e-01 2.45479e+00
 12    24 -6.69459e+01 7.54847e-01 2.05325e+00
 13    29 -6.87484e+01 7.08970e-01 1.66841e+00
 14    35 -7.03656e+01 6.41563e-01 1.40255e+00
 15    42 -7.15108e+01 5.52566e-01 1.35136e+00
 16    51 -7.24178e+01 4.40813e-01 1.49341e+00
 17    62 -7.29597e+01 3.25351e-01 1.73062e+00
 18    75 -7.32320e+01 2.26328e-01 1.89198e+00
 19    91 -7.33600e+01 1.54113e-01 1.89788e+00
 20   109 -7.34222e+01 1.25440e-01 1.97401e+00
 21   132 -7.34662e+01 1.24859e-01 2.05732e+00
 22   159 -7.34942e+01 1.35594e-01 2.16098e+00
 23   193 -7.35099e+01 1.49137e-01 2.26177e+00
 24   232 -7.35158e+01 1.60321e-01 2.33418e+00
 25   281 -7.35174e+01 1.67713e-01 2.38177e+00
 26   339 -7.35176e+01 1.70965e-01 2.40300e+00
 27   409 -7.35176e+01 1.71888e-01 2.40907e+00
 28   494 -7.35176e+01 1.72023e-01 2.40996e+00
 29   596 -7.35176e+01 1.72026e-01 2.41001e+00
 30   719 -7.35176e+01 1.72030e-01 2.41001e+00
 31   868 -7.35175e+01 1.71987e-01 2.40924e+00
 32  1048 -7.35175e+01 1.72030e-01 2.41007e+00
 33  1264 -7.35175e+01 1.72030e-01 2.41022e+00
 34  1526 -7.35163e+01 1.72032e-01 2.41064e+00
 35  1842 -7.35173e+01 1.72032e-01 2.41010e+00
 36  2222 -7.35166e+01 1.72029e-01 2.41004e+00
 37  2682 -7.35174e+01 1.72011e-01 2.40952e+00
 38  3237 -7.35168e+01 1.72083e-01 2.41132e+00
 39  3906 -7.35111e+01 1.72034e-01 2.41012e+00
 40  4714 -7.35149e+01 1.72092e-01 2.41153e+00
 41  5689 -7.35121e+01 1.72139e-01 2.41320e+00
 42  6866 -7.35170e+01 1.72067e-01 2.41088e+00
 43  8286 -7.35163e+01 1.71930e-01 2.40738e+00
 44 10000 -7.35168e+01 1.72166e-01 2.41361e+00
