i, epoch, loss, l2_err, h1_err
  0     1 -1.41494e+01 9.67825e-01 2.16690e+00
  1     2 -2.39594e+01 9.57634e-01 2.61033e+00
  2     3 -3.10789e+01 9.47633e-01 2.93764e+00
  3     4 -3.82328e+01 9.37431e-01 3.14720e+00
  4     5 -4.20530e+01 9.27118e-01 3.26818e+00
  5     6 -4.76471e+01 9.16721e-01 3.33480e+00
  6     7 -4.90369e+01 9.06488e-01 3.36217e+00
  7     9 -5.50719e+01 8.86730e-01 3.29955e+00
  8    11 -5.48234e+01 8.67979e-01 3.13009e+00
  9    13 -5.72759e+01 8.49614e-01 2.94121e+00
 10    16 -6.22901e+01 8.22066e-01 2.63033e+00
 11    20 -6.66931e+01 7.88804e-01 2.24375e+00
 12    24 -6.72252e+01 7.58153e-01 1.94966e+00
 13    29 -6.98031e+01 7.15004e-01 1.69815e+00
 14    35 -6.86315e+01 6.52747e-01 1.49291e+00
 15    42 -6.89934e+01 5.70747e-01 1.32162e+00
 16    51 -7.09186e+01 4.64454e-01 1.05888e+00
 17    62 -7.05079e+01 3.51151e-01 7.42562e-01
 18    75 -7.26429e+01 2.46665e-01 4.72141e-01
 19    91 -7.47737e+01 1.55375e-01 2.99596e-01
 20   109 -7.23219e+01 8.59391e-02 2.11102e-01
 21   132 -7.26318e+01 3.47708e-02 1.70600e-01
 22   159 -7.40738e+01 1.37016e-02 1.84799e-01
 23   193 -7.05600e+01 1.15034e-02 1.92952e-01
 24   232 -7.20277e+01 1.29596e-02 2.08675e-01
 25   281 -7.26668e+01 1.30778e-02 2.08175e-01
 26   339 -7.42081e+01 1.00097e-02 1.59357e-01
 27   409 -7.12811e+01 9.03100e-03 1.43949e-01
 28   494 -7.31207e+01 8.76989e-03 1.42061e-01
 29   596 -6.97750e+01 6.30515e-03 9.77571e-02
 30   719 -6.88113e+01 6.78255e-03 1.15658e-01
 31   868 -7.20586e+01 5.17143e-03 8.30384e-02
 32  1048 -7.24470e+01 5.05479e-03 8.39566e-02
 33  1264 -7.55492e+01 3.55788e-03 5.77111e-02
 34  1526 -7.50956e+01 2.84637e-03 4.83374e-02
 35  1842 -6.82517e+01 2.01123e-03 3.31242e-02
 36  2222 -7.67941e+01 1.14406e-03 1.77290e-02
 37  2682 -7.52441e+01 6.31491e-04 8.73877e-03
 38  3237 -7.47234e+01 4.64884e-04 5.53911e-03
 39  3906 -7.18911e+01 4.30059e-04 4.82801e-03
 40  4714 -7.74113e+01 4.14072e-04 4.45181e-03
 41  5689 -7.80597e+01 3.96513e-04 4.01112e-03
 42  6866 -7.20681e+01 3.81408e-04 3.62328e-03
 43  8286 -7.35427e+01 3.66244e-04 3.26511e-03
 44 10000 -7.45139e+01 3.51279e-04 3.00123e-03
