iteration	loss
0	0.000000e+00
1	-1.414942e+01
2	-2.395944e+01
3	-3.107886e+01
4	-3.823278e+01
5	-4.205304e+01
6	-4.764710e+01
7	-4.903686e+01
8	-5.133868e+01
9	-5.507188e+01
10	-5.789935e+01
11	-5.482342e+01
12	-5.733970e+01
13	-5.727593e+01
14	-5.947416e+01
15	-6.223149e+01
16	-6.229014e+01
17	-6.484324e+01
18	-6.316686e+01
19	-6.294313e+01
20	-6.669313e+01
21	-6.745651e+01
22	-6.457096e+01
23	-6.542421e+01
24	-6.722515e+01
25	-6.793062e+01
26	-6.954655e+01
27	-6.776107e+01
28	-7.075503e+01
29	-6.980305e+01
30	-6.699766e+01
31	-6.692580e+01
32	-6.801476e+01
33	-6.727667e+01
34	-7.003975e+01
35	-6.863152e+01
36	-6.884488e+01
37	-7.088098e+01
38	-6.988066e+01
39	-6.806899e+01
40	-6.880741e+01
41	-7.450323e+01
42	-6.899341e+01
43	-7.232537e+01
44	-7.144726e+01
45	-7.218829e+01
46	-7.495589e+01
47	-6.964759e+01
48	-7.265523e+01
49	-7.316429e+01
50	-7.028293e+01
51	-7.091860e+01
52	-6.617202e+01
53	-6.844814e+01
54	-7.351686e+01
55	-7.095894e+01
56	-7.181790e+01
57	-7.072293e+01
58	-7.074430e+01
59	-7.464435e+01
60	-7.271984e+01
61	-7.348276e+01
62	-7.050793e+01
63	-7.514516e+01
64	-7.153135e+01
65	-7.051840e+01
66	-7.087341e+01
67	-7.574303e+01
68	-7.265561e+01
69	-7.634939e+01
70	-7.339696e+01
71	-7.056088e+01
72	-7.192544e+01
73	-7.486407e+01
74	-7.246832e+01
75	-7.264292e+01
76	-7.115333e+01
77	-7.304068e+01
78	-7.330245e+01
79	-7.072498e+01
80	-7.288955e+01
81	-7.262934e+01
82	-7.402846e+01
83	-7.645303e+01
84	-7.444681e+01
85	-7.049516e+01
86	-7.020876e+01
87	-7.000255e+01
88	-7.447039e+01
89	-7.132264e+01
90	-7.158348e+01
91	-7.477372e+01
92	-7.402793e+01
93	-6.928582e+01
94	-7.612816e+01
95	-7.317504e+01
96	-7.501045e+01
97	-7.253502e+01
98	-7.136714e+01
99	-7.266026e+01
100	-7.422364e+01
101	-7.327744e+01
102	-7.393496e+01
103	-7.455400e+01
104	-7.495969e+01
105	-7.444430e+01
106	-7.127877e+01
107	-7.315905e+01
108	-7.178996e+01
109	-7.232186e+01
110	-7.398588e+01
111	-7.203954e+01
112	-7.644487e+01
113	-7.203495e+01
114	-7.299284e+01
115	-7.033810e+01
116	-6.958956e+01
117	-7.223307e+01
118	-7.360744e+01
119	-7.389792e+01
120	-7.179844e+01
121	-7.098573e+01
122	-7.504135e+01
123	-7.340429e+01
124	-7.125405e+01
125	-7.500269e+01
126	-7.440696e+01
127	-7.325758e+01
128	-7.044371e+01
129	-7.183177e+01
130	-7.271349e+01
131	-7.208686e+01
132	-7.263180e+01
133	-7.443986e+01
134	-7.889073e+01
135	-7.312272e+01
136	-7.330130e+01
137	-7.256980e+01
138	-7.420442e+01
139	-7.281907e+01
140	-7.365243e+01
141	-7.626848e+01
142	-7.067959e+01
143	-7.449996e+01
144	-7.252007e+01
145	-7.617348e+01
146	-6.964600e+01
147	-6.980578e+01
148	-7.320240e+01
149	-7.007322e+01
150	-7.397259e+01
151	-7.529898e+01
152	-7.170122e+01
153	-7.280605e+01
154	-7.360102e+01
155	-7.064923e+01
156	-7.091239e+01
157	-7.424282e+01
158	-7.286067e+01
159	-7.407381e+01
160	-7.257117e+01
161	-7.199204e+01
162	-7.361931e+01
163	-7.000248e+01
164	-7.117750e+01
165	-7.233087e+01
166	-7.479493e+01
167	-7.028643e+01
168	-7.460537e+01
169	-7.491687e+01
170	-7.286948e+01
171	-7.024905e+01
172	-7.454356e+01
173	-7.388291e+01
174	-7.487614e+01
175	-7.215866e+01
176	-7.385471e+01
177	-7.565573e+01
178	-7.527066e+01
179	-7.038936e+01
180	-7.476628e+01
181	-6.932223e+01
182	-7.262225e+01
183	-7.025600e+01
184	-7.490191e+01
185	-6.804191e+01
186	-7.003232e+01
187	-7.517099e+01
188	-7.099179e+01
189	-7.037026e+01
190	-6.958990e+01
191	-7.649691e+01
192	-7.131590e+01
193	-7.055996e+01
194	-7.778426e+01
195	-7.275864e+01
196	-7.076389e+01
197	-7.326961e+01
198	-7.235086e+01
199	-7.078534e+01
200	-7.143978e+01
201	-7.261435e+01
202	-7.291721e+01
203	-7.545525e+01
