n	h ~ 1 / sqrt(n)	n_centers	L2-error	H1-error	time_train_s	peak_mem_mb
1	0.5	9	0.112805	0.354797	411.9800	80.60
2	0.3333333333333333	16	0.0671009	0.288521	409.5900	120.67
4	0.2	36	0.0180279	0.131673	413.1500	238.81
6	0.14285714285714285	64	0.00600714	0.0647174	413.2500	398.35
8	0.1111111111111111	100	0.00247112	0.0364664	417.9200	605.41
10	0.09090909090909091	144	0.00117992	0.0228503	417.3700	923.50
12	0.07692307692307693	196	0.000673407	0.0157033	418.4700	1246.31
14	0.06666666666666667	256	0.000482788	0.0118946	417.0700	1623.96
16	0.058823529411764705	324	0.000396234	0.00971149	429.8800	1980.54
18	0.05263157894736842	400	0.000433547	0.00829796	441.5400	2374.94
20	0.047619047619047616	484	0.00038124	0.008283	455.4400	2867.57
