iteration	loss
0	0.000000e+00
1	-9.332837e+00
2	-1.878880e+01
3	-2.574885e+01
4	-3.258167e+01
5	-3.926057e+01
6	-4.318533e+01
7	-4.813011e+01
8	-5.245571e+01
9	-5.585359e+01
10	-5.957178e+01
11	-6.070550e+01
12	-6.499204e+01
13	-6.643785e+01
14	-6.786443e+01
15	-6.617049e+01
16	-6.959150e+01
17	-7.092025e+01
18	-7.045065e+01
19	-7.158574e+01
20	-6.916160e+01
21	-7.319713e+01
22	-6.759591e+01
23	-7.444885e+01
24	-7.223221e+01
25	-7.105372e+01
26	-7.062366e+01
27	-6.850260e+01
28	-7.220927e+01
29	-7.019073e+01
30	-7.165389e+01
31	-7.228445e+01
32	-7.183993e+01
33	-6.967667e+01
34	-6.856005e+01
35	-7.323652e+01
36	-7.236434e+01
37	-6.903046e+01
38	-7.082236e+01
39	-7.331479e+01
40	-7.082112e+01
41	-7.017956e+01
42	-7.379620e+01
43	-7.385322e+01
44	-7.207614e+01
45	-7.183992e+01
46	-7.123937e+01
47	-7.235441e+01
48	-7.171785e+01
49	-7.225999e+01
50	-7.311960e+01
51	-7.669944e+01
52	-7.491548e+01
53	-7.457100e+01
54	-7.350112e+01
55	-7.262171e+01
56	-7.633773e+01
57	-7.276806e+01
58	-7.252169e+01
59	-7.205507e+01
60	-7.243700e+01
61	-7.442548e+01
62	-7.394642e+01
63	-7.575047e+01
64	-7.605929e+01
65	-6.918891e+01
66	-7.224900e+01
67	-6.915869e+01
68	-7.113338e+01
69	-7.120253e+01
70	-7.435923e+01
71	-7.395252e+01
72	-7.163301e+01
73	-7.218807e+01
74	-7.287258e+01
75	-7.414300e+01
76	-7.562289e+01
77	-7.191123e+01
78	-7.278387e+01
79	-7.280041e+01
80	-7.525391e+01
81	-7.368131e+01
82	-7.369105e+01
83	-7.056702e+01
84	-7.763503e+01
85	-7.036709e+01
86	-7.148291e+01
87	-7.379366e+01
88	-6.996199e+01
89	-7.217966e+01
90	-6.928329e+01
91	-7.752928e+01
92	-7.278813e+01
93	-7.058991e+01
94	-7.160832e+01
95	-7.462071e+01
96	-6.955416e+01
97	-7.087872e+01
98	-7.254642e+01
99	-7.522530e+01
100	-7.005418e+01
101	-7.171837e+01
102	-7.815459e+01
103	-7.348067e+01
104	-7.556262e+01
105	-7.133975e+01
106	-7.241014e+01
107	-7.203642e+01
108	-7.037558e+01
109	-7.500334e+01
110	-7.409125e+01
111	-7.553083e+01
112	-6.784024e+01
113	-7.315049e+01
114	-7.316609e+01
115	-7.281504e+01
116	-7.542748e+01
117	-7.250620e+01
118	-7.242721e+01
119	-7.396090e+01
120	-7.934841e+01
121	-6.962809e+01
122	-7.412330e+01
123	-7.693295e+01
124	-7.110996e+01
125	-7.268591e+01
126	-7.445907e+01
127	-7.180637e+01
128	-7.390938e+01
129	-7.382370e+01
130	-7.371367e+01
131	-7.331144e+01
132	-7.195587e+01
133	-7.399719e+01
134	-7.073907e+01
135	-7.487676e+01
136	-7.130859e+01
137	-6.922783e+01
138	-7.443024e+01
139	-7.637859e+01
140	-7.293850e+01
141	-7.429249e+01
142	-7.015711e+01
143	-6.933952e+01
144	-7.493904e+01
145	-7.252277e+01
146	-7.310810e+01
147	-7.468028e+01
148	-7.461035e+01
149	-7.723637e+01
150	-7.440471e+01
151	-7.524960e+01
152	-7.526704e+01
153	-7.388250e+01
154	-7.599606e+01
155	-7.542942e+01
156	-7.882613e+01
157	-7.122436e+01
158	-7.701285e+01
159	-7.732352e+01
160	-7.265731e+01
161	-7.510198e+01
162	-6.999588e+01
163	-7.480682e+01
164	-7.211405e+01
165	-7.663907e+01
166	-7.114350e+01
167	-7.332600e+01
168	-7.010691e+01
169	-7.476569e+01
170	-7.089243e+01
171	-7.153931e+01
172	-7.147572e+01
173	-7.171691e+01
174	-6.869500e+01
175	-7.400436e+01
176	-7.504655e+01
177	-7.235025e+01
178	-7.264365e+01
179	-7.315214e+01
180	-7.375089e+01
181	-7.394854e+01
182	-7.048140e+01
183	-7.415372e+01
184	-7.431948e+01
185	-7.213244e+01
186	-7.298706e+01
187	-7.215759e+01
188	-7.890747e+01
189	-7.352338e+01
190	-7.417183e+01
191	-7.235417e+01
192	-7.388167e+01
193	-7.170029e+01
194	-7.322935e+01
195	-7.686743e+01
196	-7.045819e+01
197	-7.436478e+01
198	-7.186385e+01
199	-7.285900e+01
200	-7.230310e+01
201	-7.279550e+01
202	-7.846503e+01
203	-7.466770e+01
204	-7.157592e+01
205	-7.154018e+01
206	-7.431183e+01
207	-7.599166e+01
208	-7.719961e+01
209	-7.291839e+01
210	-7.105673e+01
211	-7.090138e+01
212	-7.456989e+01
213	-7.661489e+01
214	-7.196352e+01
