i, epoch, loss, l2_err, h1_err
  0     1 -9.83555e+00 8.47539e-01 8.67753e-01
  1     2 -1.80188e+01 7.74531e-01 8.10040e-01
  2     3 -2.58937e+01 7.04509e-01 7.57764e-01
  3     4 -3.41982e+01 6.37829e-01 7.10588e-01
  4     5 -3.96666e+01 5.74949e-01 6.68109e-01
  5     6 -4.65376e+01 5.16322e-01 6.31322e-01
  6     7 -5.00206e+01 4.62391e-01 6.01601e-01
  7     9 -5.89342e+01 3.69934e-01 5.63070e-01
  8    11 -6.14588e+01 3.00631e-01 5.46106e-01
  9    13 -6.35252e+01 2.53887e-01 5.38163e-01
 10    16 -6.97619e+01 2.23270e-01 5.20959e-01
 11    20 -7.30899e+01 2.28405e-01 4.73076e-01
 12    24 -7.23349e+01 2.33918e-01 4.20295e-01
 13    29 -7.20400e+01 2.11532e-01 3.97748e-01
 14    35 -7.08484e+01 1.72037e-01 3.98131e-01
 15    42 -7.12276e+01 1.65042e-01 3.80445e-01
 16    51 -7.17908e+01 1.45205e-01 3.61175e-01
 17    62 -7.09125e+01 1.12523e-01 3.58346e-01
 18    75 -7.25834e+01 1.36320e-01 3.63297e-01
 19    91 -7.43751e+01 1.27739e-01 3.58284e-01
 20   109 -7.27431e+01 1.29792e-01 3.59654e-01
 21   132 -7.24414e+01 1.28690e-01 3.58946e-01
 22   159 -7.34252e+01 1.29881e-01 3.59500e-01
 23   193 -7.04237e+01 1.29657e-01 3.59100e-01
 24   232 -7.14105e+01 1.30116e-01 3.60005e-01
 25   281 -7.26982e+01 1.27946e-01 3.58905e-01
 26   339 -7.36798e+01 1.30389e-01 3.59765e-01
 27   409 -7.12266e+01 1.28693e-01 3.59225e-01
 28   494 -7.24498e+01 1.29446e-01 3.59512e-01
 29   596 -6.93309e+01 1.28585e-01 3.58719e-01
 30   719 -6.83446e+01 1.29657e-01 3.59252e-01
 31   868 -7.14101e+01 1.28628e-01 3.58913e-01
 32  1048 -7.28291e+01 1.29086e-01 3.59255e-01
 33  1264 -7.57107e+01 1.29090e-01 3.59165e-01
 34  1526 -7.44377e+01 1.29338e-01 3.59224e-01
 35  1842 -6.77435e+01 1.29331e-01 3.59311e-01
 36  2222 -7.65429e+01 1.29019e-01 3.59182e-01
 37  2682 -7.54204e+01 1.29203e-01 3.59255e-01
 38  3237 -7.46679e+01 1.29234e-01 3.59265e-01
 39  3906 -7.08994e+01 1.29222e-01 3.59259e-01
 40  4714 -7.71779e+01 1.29224e-01 3.59255e-01
 41  5689 -7.78903e+01 1.29225e-01 3.59252e-01
 42  6866 -7.17957e+01 1.29199e-01 3.59233e-01
 43  8286 -7.25956e+01 1.29182e-01 3.59232e-01
 44 10000 -7.38878e+01 1.29211e-01 3.59244e-01
